Ref_Date,Geo,School,Source,Stats,Vector,Coordinate,Value
2010,Newfoundland and Labrador,Bachelors,Graduates who owed money for their education to government student loan programs,Average debt remaining at time of interview for those who still owed dollars,v88834972,2.2.2.5,18900
2000,Newfoundland and Labrador,Bachelors,Graduates who owed money for their education to nongovernment sources,Percentage of graduates who owed debt to the source,v88834973,2.2.3.1,23
2005,Newfoundland and Labrador,Bachelors,Graduates who owed money for their education to nongovernment sources,Percentage of graduates who owed debt to the source,v88834973,2.2.3.1,26
2010,Newfoundland and Labrador,Bachelors,Graduates who owed money for their education to nongovernment sources,Percentage of graduates who owed debt to the source,v88834973,2.2.3.1,25
2000,Newfoundland and Labrador,Bachelors,Graduates who owed money for their education to nongovernment sources,"Percentage of graduates with large debt at graduation 25,000 and over",v88834974,2.2.3.2,11
2005,Newfoundland and Labrador,Bachelors,Graduates who owed money for their education to nongovernment sources,"Percentage of graduates with large debt at graduation 25,000 and over",v88834974,2.2.3.2,21
2010,Newfoundland and Labrador,Bachelors,Graduates who owed money for their education to nongovernment sources,"Percentage of graduates with large debt at graduation 25,000 and over",v88834974,2.2.3.2,28
2000,Newfoundland and Labrador,Bachelors,Graduates who owed money for their education to nongovernment sources,Average debt owed to the source at time of graduation dollars,v88834975,2.2.3.3,13200
2005,Newfoundland and Labrador,Bachelors,Graduates who owed money for their education to nongovernment sources,Average debt owed to the source at time of graduation dollars,v88834975,2.2.3.3,16300
2010,Newfoundland and Labrador,Bachelors,Graduates who owed money for their education to nongovernment sources,Average debt owed to the source at time of graduation dollars,v88834975,2.2.3.3,23700
2000,Newfoundland and Labrador,Bachelors,Graduates who owed money for their education to nongovernment sources,Percentage of graduates with debt who had paid it off  at time of interview,v88834976,2.2.3.4,32
2005,Newfoundland and Labrador,Bachelors,Graduates who owed money for their education to nongovernment sources,Percentage of graduates with debt who had paid it off  at time of interview,v88834976,2.2.3.4,29
2010,Newfoundland and Labrador,Bachelors,Graduates who owed money for their education to nongovernment sources,Percentage of graduates with debt who had paid it off  at time of interview,v88834976,2.2.3.4,42
2000,Newfoundland and Labrador,Bachelors,Graduates who owed money for their education to nongovernment sources,Average debt remaining at time of interview for those who still owed dollars,v88834977,2.2.3.5,17100
2005,Newfoundland and Labrador,Bachelors,Graduates who owed money for their education to nongovernment sources,Average debt remaining at time of interview for those who still owed dollars,v88834977,2.2.3.5,19800
2010,Newfoundland and Labrador,Bachelors,Graduates who owed money for their education to nongovernment sources,Average debt remaining at time of interview for those who still owed dollars,v88834977,2.2.3.5,26800
2000,Newfoundland and Labrador,Masters,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates who owed debt to the source,v88834978,2.3.1.1,42
2005,Newfoundland and Labrador,Masters,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates who owed debt to the source,v88834978,2.3.1.1,44
2010,Newfoundland and Labrador,Masters,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates who owed debt to the source,v88834978,2.3.1.1,43
2000,Newfoundland and Labrador,Masters,Graduates who owed money for their education to any source government or nongovernment,"Percentage of graduates with large debt at graduation 25,000 and over",v88834979,2.3.1.2,27
2005,Newfoundland and Labrador,Masters,Graduates who owed money for their education to any source government or nongovernment,"Percentage of graduates with large debt at graduation 25,000 and over",v88834979,2.3.1.2,39
2010,Newfoundland and Labrador,Masters,Graduates who owed money for their education to any source government or nongovernment,"Percentage of graduates with large debt at graduation 25,000 and over",v88834979,2.3.1.2,55
2000,Newfoundland and Labrador,Masters,Graduates who owed money for their education to any source government or nongovernment,Average debt owed to the source at time of graduation dollars,v88834980,2.3.1.3,19400
2005,Newfoundland and Labrador,Masters,Graduates who owed money for their education to any source government or nongovernment,Average debt owed to the source at time of graduation dollars,v88834980,2.3.1.3,24200
2010,Newfoundland and Labrador,Masters,Graduates who owed money for their education to any source government or nongovernment,Average debt owed to the source at time of graduation dollars,v88834980,2.3.1.3,27300
2000,Newfoundland and Labrador,Masters,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates with debt who had paid it off  at time of interview,v88834981,2.3.1.4,25
2005,Newfoundland and Labrador,Masters,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates with debt who had paid it off  at time of interview,v88834981,2.3.1.4,27
2010,Newfoundland and Labrador,Masters,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates with debt who had paid it off  at time of interview,v88834981,2.3.1.4,37
2000,Newfoundland and Labrador,Masters,Graduates who owed money for their education to any source government or nongovernment,Average debt remaining at time of interview for those who still owed dollars,v88834982,2.3.1.5,18000
2005,Newfoundland and Labrador,Masters,Graduates who owed money for their education to any source government or nongovernment,Average debt remaining at time of interview for those who still owed dollars,v88834982,2.3.1.5,21300
2010,Newfoundland and Labrador,Masters,Graduates who owed money for their education to any source government or nongovernment,Average debt remaining at time of interview for those who still owed dollars,v88834982,2.3.1.5,18500
2000,Newfoundland and Labrador,Masters,Graduates who owed money for their education to government student loan programs,Percentage of graduates who owed debt to the source,v88834983,2.3.2.1,33
2005,Newfoundland and Labrador,Masters,Graduates who owed money for their education to government student loan programs,Percentage of graduates who owed debt to the source,v88834983,2.3.2.1,32
2010,Newfoundland and Labrador,Masters,Graduates who owed money for their education to government student loan programs,Percentage of graduates who owed debt to the source,v88834983,2.3.2.1,31
2000,Newfoundland and Labrador,Masters,Graduates who owed money for their education to government student loan programs,"Percentage of graduates with large debt at graduation 25,000 and over",v88834984,2.3.2.2,28
2005,Newfoundland and Labrador,Masters,Graduates who owed money for their education to government student loan programs,"Percentage of graduates with large debt at graduation 25,000 and over",v88834984,2.3.2.2,46
2010,Newfoundland and Labrador,Masters,Graduates who owed money for their education to government student loan programs,"Percentage of graduates with large debt at graduation 25,000 and over",v88834984,2.3.2.2,61
2000,Newfoundland and Labrador,Masters,Graduates who owed money for their education to government student loan programs,Average debt owed to the source at time of graduation dollars,v88834985,2.3.2.3,20300
2005,Newfoundland and Labrador,Masters,Graduates who owed money for their education to government student loan programs,Average debt owed to the source at time of graduation dollars,v88834985,2.3.2.3,23500
2010,Newfoundland and Labrador,Masters,Graduates who owed money for their education to government student loan programs,Average debt owed to the source at time of graduation dollars,v88834985,2.3.2.3,26700
2000,Newfoundland and Labrador,Masters,Graduates who owed money for their education to government student loan programs,Percentage of graduates with debt who had paid it off  at time of interview,v88834986,2.3.2.4,20
2005,Newfoundland and Labrador,Masters,Graduates who owed money for their education to government student loan programs,Percentage of graduates with debt who had paid it off  at time of interview,v88834986,2.3.2.4,31
2010,Newfoundland and Labrador,Masters,Graduates who owed money for their education to government student loan programs,Percentage of graduates with debt who had paid it off  at time of interview,v88834986,2.3.2.4,27
2000,Newfoundland and Labrador,Masters,Graduates who owed money for their education to government student loan programs,Average debt remaining at time of interview for those who still owed dollars,v88834987,2.3.2.5,19200
2005,Newfoundland and Labrador,Masters,Graduates who owed money for their education to government student loan programs,Average debt remaining at time of interview for those who still owed dollars,v88834987,2.3.2.5,18400
2010,Newfoundland and Labrador,Masters,Graduates who owed money for their education to government student loan programs,Average debt remaining at time of interview for those who still owed dollars,v88834987,2.3.2.5,14800
2000,Newfoundland and Labrador,Masters,Graduates who owed money for their education to nongovernment sources,Percentage of graduates who owed debt to the source,v88834988,2.3.3.1,16
2005,Newfoundland and Labrador,Masters,Graduates who owed money for their education to nongovernment sources,Percentage of graduates who owed debt to the source,v88834988,2.3.3.1,26
2010,Newfoundland and Labrador,Masters,Graduates who owed money for their education to nongovernment sources,Percentage of graduates who owed debt to the source,v88834988,2.3.3.1,25
2000,Newfoundland and Labrador,Masters,Graduates who owed money for their education to nongovernment sources,"Percentage of graduates with large debt at graduation 25,000 and over",v88834989,2.3.3.2,
2005,Newfoundland and Labrador,Masters,Graduates who owed money for their education to nongovernment sources,"Percentage of graduates with large debt at graduation 25,000 and over",v88834989,2.3.3.2,17
2010,Newfoundland and Labrador,Masters,Graduates who owed money for their education to nongovernment sources,"Percentage of graduates with large debt at graduation 25,000 and over",v88834989,2.3.3.2,
2000,Newfoundland and Labrador,Masters,Graduates who owed money for their education to nongovernment sources,Average debt owed to the source at time of graduation dollars,v88834990,2.3.3.3,9400
2005,Newfoundland and Labrador,Masters,Graduates who owed money for their education to nongovernment sources,Average debt owed to the source at time of graduation dollars,v88834990,2.3.3.3,12200
2010,Newfoundland and Labrador,Masters,Graduates who owed money for their education to nongovernment sources,Average debt owed to the source at time of graduation dollars,v88834990,2.3.3.3,13200
2000,Newfoundland and Labrador,Masters,Graduates who owed money for their education to nongovernment sources,Percentage of graduates with debt who had paid it off  at time of interview,v88834991,2.3.3.4,34
2005,Newfoundland and Labrador,Masters,Graduates who owed money for their education to nongovernment sources,Percentage of graduates with debt who had paid it off  at time of interview,v88834991,2.3.3.4,39
2010,Newfoundland and Labrador,Masters,Graduates who owed money for their education to nongovernment sources,Percentage of graduates with debt who had paid it off  at time of interview,v88834991,2.3.3.4,54
2000,Newfoundland and Labrador,Masters,Graduates who owed money for their education to nongovernment sources,Average debt remaining at time of interview for those who still owed dollars,v88834992,2.3.3.5,7000
2005,Newfoundland and Labrador,Masters,Graduates who owed money for their education to nongovernment sources,Average debt remaining at time of interview for those who still owed dollars,v88834992,2.3.3.5,17800
2010,Newfoundland and Labrador,Masters,Graduates who owed money for their education to nongovernment sources,Average debt remaining at time of interview for those who still owed dollars,v88834992,2.3.3.5,12500
2000,Newfoundland and Labrador,Doctorate,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates who owed debt to the source,v88834993,2.4.1.1,
2005,Newfoundland and Labrador,Doctorate,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates who owed debt to the source,v88834993,2.4.1.1,47
2010,Newfoundland and Labrador,Doctorate,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates who owed debt to the source,v88834993,2.4.1.1,27
2000,Newfoundland and Labrador,Doctorate,Graduates who owed money for their education to any source government or nongovernment,"Percentage of graduates with large debt at graduation 25,000 and over",v88834994,2.4.1.2,
2005,Newfoundland and Labrador,Doctorate,Graduates who owed money for their education to any source government or nongovernment,"Percentage of graduates with large debt at graduation 25,000 and over",v88834994,2.4.1.2,
2010,Newfoundland and Labrador,Doctorate,Graduates who owed money for their education to any source government or nongovernment,"Percentage of graduates with large debt at graduation 25,000 and over",v88834994,2.4.1.2,
2000,Newfoundland and Labrador,Doctorate,Graduates who owed money for their education to any source government or nongovernment,Average debt owed to the source at time of graduation dollars,v88834995,2.4.1.3,
2005,Newfoundland and Labrador,Doctorate,Graduates who owed money for their education to any source government or nongovernment,Average debt owed to the source at time of graduation dollars,v88834995,2.4.1.3,14900
2010,Newfoundland and Labrador,Doctorate,Graduates who owed money for their education to any source government or nongovernment,Average debt owed to the source at time of graduation dollars,v88834995,2.4.1.3,45800
2000,Newfoundland and Labrador,Doctorate,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates with debt who had paid it off  at time of interview,v88834996,2.4.1.4,
2005,Newfoundland and Labrador,Doctorate,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates with debt who had paid it off  at time of interview,v88834996,2.4.1.4,
2010,Newfoundland and Labrador,Doctorate,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates with debt who had paid it off  at time of interview,v88834996,2.4.1.4,
2000,Newfoundland and Labrador,Doctorate,Graduates who owed money for their education to any source government or nongovernment,Average debt remaining at time of interview for those who still owed dollars,v88834997,2.4.1.5,
2005,Newfoundland and Labrador,Doctorate,Graduates who owed money for their education to any source government or nongovernment,Average debt remaining at time of interview for those who still owed dollars,v88834997,2.4.1.5,10300
2010,Newfoundland and Labrador,Doctorate,Graduates who owed money for their education to any source government or nongovernment,Average debt remaining at time of interview for those who still owed dollars,v88834997,2.4.1.5,
2000,Newfoundland and Labrador,Doctorate,Graduates who owed money for their education to government student loan programs,Percentage of graduates who owed debt to the source,v88834998,2.4.2.1,
2005,Newfoundland and Labrador,Doctorate,Graduates who owed money for their education to government student loan programs,Percentage of graduates who owed debt to the source,v88834998,2.4.2.1,33
2010,Newfoundland and Labrador,Doctorate,Graduates who owed money for their education to government student loan programs,Percentage of graduates who owed debt to the source,v88834998,2.4.2.1,
2000,Newfoundland and Labrador,Doctorate,Graduates who owed money for their education to government student loan programs,"Percentage of graduates with large debt at graduation 25,000 and over",v88834999,2.4.2.2,
2005,Newfoundland and Labrador,Doctorate,Graduates who owed money for their education to government student loan programs,"Percentage of graduates with large debt at graduation 25,000 and over",v88834999,2.4.2.2,
2010,Newfoundland and Labrador,Doctorate,Graduates who owed money for their education to government student loan programs,"Percentage of graduates with large debt at graduation 25,000 and over",v88834999,2.4.2.2,
2000,Newfoundland and Labrador,Doctorate,Graduates who owed money for their education to government student loan programs,Average debt owed to the source at time of graduation dollars,v88835000,2.4.2.3,
2005,Newfoundland and Labrador,Doctorate,Graduates who owed money for their education to government student loan programs,Average debt owed to the source at time of graduation dollars,v88835000,2.4.2.3,14800
2010,Newfoundland and Labrador,Doctorate,Graduates who owed money for their education to government student loan programs,Average debt owed to the source at time of graduation dollars,v88835000,2.4.2.3,
2000,Newfoundland and Labrador,Doctorate,Graduates who owed money for their education to government student loan programs,Percentage of graduates with debt who had paid it off  at time of interview,v88835001,2.4.2.4
2005,Newfoundland and Labrador,Doctorate,Graduates who owed money for their education to government student loan programs,Percentage of graduates with debt who had paid it off  at time of interview,v88835001,2.4.2.4
2010,Newfoundland and Labrador,Doctorate,Graduates who owed money for their education to government student loan programs,Percentage of graduates with debt who had paid it off  at time of interview,v88835001,2.4.2.4
2000,Newfoundland and Labrador,Doctorate,Graduates who owed money for their education to government student loan programs,Average debt remaining at time of interview for those who still owed dollars,v88835002,2.4.2.5
2005,Newfoundland and Labrador,Doctorate,Graduates who owed money for their education to government student loan programs,Average debt remaining at time of interview for those who still owed dollars,v88835002,2.4.2.5
2010,Newfoundland and Labrador,Doctorate,Graduates who owed money for their education to government student loan programs,Average debt remaining at time of interview for those who still owed dollars,v88835002,2.4.2.5
2000,Newfoundland and Labrador,Doctorate,Graduates who owed money for their education to nongovernment sources,Percentage of graduates who owed debt to the source,v88835003,2.4.3.1
2005,Newfoundland and Labrador,Doctorate,Graduates who owed money for their education to nongovernment sources,Percentage of graduates who owed debt to the source,v88835003,2.4.3.1
2010,Newfoundland and Labrador,Doctorate,Graduates who owed money for their education to nongovernment sources,Percentage of graduates who owed debt to the source,v88835003,2.4.3.1
2000,Newfoundland and Labrador,Doctorate,Graduates who owed money for their education to nongovernment sources,"Percentage of graduates with large debt at graduation 25,000 and over",v88835004,2.4.3.2
2005,Newfoundland and Labrador,Doctorate,Graduates who owed money for their education to nongovernment sources,"Percentage of graduates with large debt at graduation 25,000 and over",v88835004,2.4.3.2
2010,Newfoundland and Labrador,Doctorate,Graduates who owed money for their education to nongovernment sources,"Percentage of graduates with large debt at graduation 25,000 and over",v88835004,2.4.3.2
2000,Newfoundland and Labrador,Doctorate,Graduates who owed money for their education to nongovernment sources,Average debt owed to the source at time of graduation dollars,v88835005,2.4.3.3
2005,Newfoundland and Labrador,Doctorate,Graduates who owed money for their education to nongovernment sources,Average debt owed to the source at time of graduation dollars,v88835005,2.4.3.3
2010,Newfoundland and Labrador,Doctorate,Graduates who owed money for their education to nongovernment sources,Average debt owed to the source at time of graduation dollars,v88835005,2.4.3.3
2000,Newfoundland and Labrador,Doctorate,Graduates who owed money for their education to nongovernment sources,Percentage of graduates with debt who had paid it off  at time of interview,v88835006,2.4.3.4
2005,Newfoundland and Labrador,Doctorate,Graduates who owed money for their education to nongovernment sources,Percentage of graduates with debt who had paid it off  at time of interview,v88835006,2.4.3.4,
2010,Newfoundland and Labrador,Doctorate,Graduates who owed money for their education to nongovernment sources,Percentage of graduates with debt who had paid it off  at time of interview,v88835006,2.4.3.4,
2000,Newfoundland and Labrador,Doctorate,Graduates who owed money for their education to nongovernment sources,Average debt remaining at time of interview for those who still owed dollars,v88835007,2.4.3.5,
2005,Newfoundland and Labrador,Doctorate,Graduates who owed money for their education to nongovernment sources,Average debt remaining at time of interview for those who still owed dollars,v88835007,2.4.3.5,
2010,Newfoundland and Labrador,Doctorate,Graduates who owed money for their education to nongovernment sources,Average debt remaining at time of interview for those who still owed dollars,v88835007,2.4.3.5,
2000,Prince Edward Island,College,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates who owed debt to the source,v88835008,3.1.1.1,68
2005,Prince Edward Island,College,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates who owed debt to the source,v88835008,3.1.1.1,68
2010,Prince Edward Island,College,Graduates who owed money for their education to any source government or nongovernment,Percentage of graduates who owed debt to the source,v88835008,3.1.1.1,61
2000,Prince Edward Island,College,Graduates who owed money for their education to any source government or nongovernment,"Percentage of graduates with large debt at graduation 25,000 and over",v88835009,3.1.1.2,14
