Ref_Date,Geo,School,Gender,Stats,Vector,Coordinate,Value
2005,Newfoundland and Labrador,College,Females,Employed percent,v88832489,2.1.3.2,85
2010,Newfoundland and Labrador,College,Females,Employed percent,v88832489,2.1.3.2,82
2000,Newfoundland and Labrador,College,Females,Employed fulltime percent,v88832490,2.1.3.3,71
2005,Newfoundland and Labrador,College,Females,Employed fulltime percent,v88832490,2.1.3.3,76
2010,Newfoundland and Labrador,College,Females,Employed fulltime percent,v88832490,2.1.3.3,79
2000,Newfoundland and Labrador,College,Females,Employed parttime percent,v88832491,2.1.3.4,8
2005,Newfoundland and Labrador,College,Females,Employed parttime percent,v88832491,2.1.3.4,8
2010,Newfoundland and Labrador,College,Females,Employed parttime percent,v88832491,2.1.3.4,
2000,Newfoundland and Labrador,College,Females,Out of labour force percent,v88832492,2.1.3.5,7
2005,Newfoundland and Labrador,College,Females,Out of labour force percent,v88832492,2.1.3.5,3
2010,Newfoundland and Labrador,College,Females,Out of labour force percent,v88832492,2.1.3.5,12
2000,Newfoundland and Labrador,College,Females,Unemployed rate,v88832493,2.1.3.6,14
2005,Newfoundland and Labrador,College,Females,Unemployed rate,v88832493,2.1.3.6,13
2010,Newfoundland and Labrador,College,Females,Unemployed rate,v88832493,2.1.3.6,7
2000,Newfoundland and Labrador,Bachelors,Both sexes,Number of graduates,v88832494,2.2.1.1,1100
2005,Newfoundland and Labrador,Bachelors,Both sexes,Number of graduates,v88832494,2.2.1.1,1600
2010,Newfoundland and Labrador,Bachelors,Both sexes,Number of graduates,v88832494,2.2.1.1,1400
2000,Newfoundland and Labrador,Bachelors,Both sexes,Employed percent,v88832495,2.2.1.2,87
2005,Newfoundland and Labrador,Bachelors,Both sexes,Employed percent,v88832495,2.2.1.2,88
2010,Newfoundland and Labrador,Bachelors,Both sexes,Employed percent,v88832495,2.2.1.2,91
2000,Newfoundland and Labrador,Bachelors,Both sexes,Employed fulltime percent,v88832496,2.2.1.3,80
2005,Newfoundland and Labrador,Bachelors,Both sexes,Employed fulltime percent,v88832496,2.2.1.3,79
2010,Newfoundland and Labrador,Bachelors,Both sexes,Employed fulltime percent,v88832496,2.2.1.3,82
2000,Newfoundland and Labrador,Bachelors,Both sexes,Employed parttime percent,v88832497,2.2.1.4,6
2005,Newfoundland and Labrador,Bachelors,Both sexes,Employed parttime percent,v88832497,2.2.1.4,8
2010,Newfoundland and Labrador,Bachelors,Both sexes,Employed parttime percent,v88832497,2.2.1.4,9
2000,Newfoundland and Labrador,Bachelors,Both sexes,Out of labour force percent,v88832498,2.2.1.5,5
2005,Newfoundland and Labrador,Bachelors,Both sexes,Out of labour force percent,v88832498,2.2.1.5,4
2010,Newfoundland and Labrador,Bachelors,Both sexes,Out of labour force percent,v88832498,2.2.1.5,4
2000,Newfoundland and Labrador,Bachelors,Both sexes,Unemployed rate,v88832499,2.2.1.6,9
2005,Newfoundland and Labrador,Bachelors,Both sexes,Unemployed rate,v88832499,2.2.1.6,8
2010,Newfoundland and Labrador,Bachelors,Both sexes,Unemployed rate,v88832499,2.2.1.6,5
2000,Newfoundland and Labrador,Bachelors,Males,Number of graduates,v88832500,2.2.2.1,400
2005,Newfoundland and Labrador,Bachelors,Males,Number of graduates,v88832500,2.2.2.1,500
2010,Newfoundland and Labrador,Bachelors,Males,Number of graduates,v88832500,2.2.2.1,500
2000,Newfoundland and Labrador,Bachelors,Males,Employed percent,v88832501,2.2.2.2,85
2005,Newfoundland and Labrador,Bachelors,Males,Employed percent,v88832501,2.2.2.2,91
2010,Newfoundland and Labrador,Bachelors,Males,Employed percent,v88832501,2.2.2.2,95
2000,Newfoundland and Labrador,Bachelors,Males,Employed fulltime percent,v88832502,2.2.2.3,82
2005,Newfoundland and Labrador,Bachelors,Males,Employed fulltime percent,v88832502,2.2.2.3,83
2010,Newfoundland and Labrador,Bachelors,Males,Employed fulltime percent,v88832502,2.2.2.3,87
2000,Newfoundland and Labrador,Bachelors,Males,Employed parttime percent,v88832503,2.2.2.4,
2005,Newfoundland and Labrador,Bachelors,Males,Employed parttime percent,v88832503,2.2.2.4,7
2010,Newfoundland and Labrador,Bachelors,Males,Employed parttime percent,v88832503,2.2.2.4,8
2000,Newfoundland and Labrador,Bachelors,Males,Out of labour force percent,v88832504,2.2.2.5,5
2005,Newfoundland and Labrador,Bachelors,Males,Out of labour force percent,v88832504,2.2.2.5,
2010,Newfoundland and Labrador,Bachelors,Males,Out of labour force percent,v88832504,2.2.2.5,
2000,Newfoundland and Labrador,Bachelors,Males,Unemployed rate,v88832505,2.2.2.6,11
2005,Newfoundland and Labrador,Bachelors,Males,Unemployed rate,v88832505,2.2.2.6,8
2010,Newfoundland and Labrador,Bachelors,Males,Unemployed rate,v88832505,2.2.2.6,3
2000,Newfoundland and Labrador,Bachelors,Females,Number of graduates,v88832506,2.2.3.1,700
2005,Newfoundland and Labrador,Bachelors,Females,Number of graduates,v88832506,2.2.3.1,1100
2010,Newfoundland and Labrador,Bachelors,Females,Number of graduates,v88832506,2.2.3.1,900
2000,Newfoundland and Labrador,Bachelors,Females,Employed percent,v88832507,2.2.3.2,87
2005,Newfoundland and Labrador,Bachelors,Females,Employed percent,v88832507,2.2.3.2,87
2010,Newfoundland and Labrador,Bachelors,Females,Employed percent,v88832507,2.2.3.2,88
2000,Newfoundland and Labrador,Bachelors,Females,Employed fulltime percent,v88832508,2.2.3.3,80
2005,Newfoundland and Labrador,Bachelors,Females,Employed fulltime percent,v88832508,2.2.3.3,77
2010,Newfoundland and Labrador,Bachelors,Females,Employed fulltime percent,v88832508,2.2.3.3,79
2000,Newfoundland and Labrador,Bachelors,Females,Employed parttime percent,v88832509,2.2.3.4,7
2005,Newfoundland and Labrador,Bachelors,Females,Employed parttime percent,v88832509,2.2.3.4,9
2010,Newfoundland and Labrador,Bachelors,Females,Employed parttime percent,v88832509,2.2.3.4,9
2000,Newfoundland and Labrador,Bachelors,Females,Out of labour force percent,v88832510,2.2.3.5,5
2005,Newfoundland and Labrador,Bachelors,Females,Out of labour force percent,v88832510,2.2.3.5,5
2010,Newfoundland and Labrador,Bachelors,Females,Out of labour force percent,v88832510,2.2.3.5,6
2000,Newfoundland and Labrador,Bachelors,Females,Unemployed rate,v88832511,2.2.3.6,8
2005,Newfoundland and Labrador,Bachelors,Females,Unemployed rate,v88832511,2.2.3.6,9
2010,Newfoundland and Labrador,Bachelors,Females,Unemployed rate,v88832511,2.2.3.6,6
2000,Newfoundland and Labrador,Masters,Both sexes,Number of graduates,v88832512,2.3.1.1,300
2005,Newfoundland and Labrador,Masters,Both sexes,Number of graduates,v88832512,2.3.1.1,400
2010,Newfoundland and Labrador,Masters,Both sexes,Number of graduates,v88832512,2.3.1.1,400
2000,Newfoundland and Labrador,Masters,Both sexes,Employed percent,v88832513,2.3.1.2,93
2005,Newfoundland and Labrador,Masters,Both sexes,Employed percent,v88832513,2.3.1.2,94
2010,Newfoundland and Labrador,Masters,Both sexes,Employed percent,v88832513,2.3.1.2,95
2000,Newfoundland and Labrador,Masters,Both sexes,Employed fulltime percent,v88832514,2.3.1.3,90
2005,Newfoundland and Labrador,Masters,Both sexes,Employed fulltime percent,v88832514,2.3.1.3,84
2010,Newfoundland and Labrador,Masters,Both sexes,Employed fulltime percent,v88832514,2.3.1.3,90
2000,Newfoundland and Labrador,Masters,Both sexes,Employed parttime percent,v88832515,2.3.1.4,4
2005,Newfoundland and Labrador,Masters,Both sexes,Employed parttime percent,v88832515,2.3.1.4,9
2010,Newfoundland and Labrador,Masters,Both sexes,Employed parttime percent,v88832515,2.3.1.4,5
2000,Newfoundland and Labrador,Masters,Both sexes,Out of labour force percent,v88832516,2.3.1.5,
2005,Newfoundland and Labrador,Masters,Both sexes,Out of labour force percent,v88832516,2.3.1.5,
2010,Newfoundland and Labrador,Masters,Both sexes,Out of labour force percent,v88832516,2.3.1.5,3
2000,Newfoundland and Labrador,Masters,Both sexes,Unemployed rate,v88832517,2.3.1.6,5
2005,Newfoundland and Labrador,Masters,Both sexes,Unemployed rate,v88832517,2.3.1.6,4
2010,Newfoundland and Labrador,Masters,Both sexes,Unemployed rate,v88832517,2.3.1.6,2
2000,Newfoundland and Labrador,Masters,Males,Number of graduates,v88832518,2.3.2.1,100
2005,Newfoundland and Labrador,Masters,Males,Number of graduates,v88832518,2.3.2.1,200
2010,Newfoundland and Labrador,Masters,Males,Number of graduates,v88832518,2.3.2.1,100
2000,Newfoundland and Labrador,Masters,Males,Employed percent,v88832519,2.3.2.2,93
2005,Newfoundland and Labrador,Masters,Males,Employed percent,v88832519,2.3.2.2,96
2010,Newfoundland and Labrador,Masters,Males,Employed percent,v88832519,2.3.2.2,96
2000,Newfoundland and Labrador,Masters,Males,Employed fulltime percent,v88832520,2.3.2.3,90
2005,Newfoundland and Labrador,Masters,Males,Employed fulltime percent,v88832520,2.3.2.3,87
2010,Newfoundland and Labrador,Masters,Males,Employed fulltime percent,v88832520,2.3.2.3,92
2000,Newfoundland and Labrador,Masters,Males,Employed parttime percent,v88832521,2.3.2.4,
2005,Newfoundland and Labrador,Masters,Males,Employed parttime percent,v88832521,2.3.2.4,8
2010,Newfoundland and Labrador,Masters,Males,Employed parttime percent,v88832521,2.3.2.4,
2000,Newfoundland and Labrador,Masters,Males,Out of labour force percent,v88832522,2.3.2.5,
2005,Newfoundland and Labrador,Masters,Males,Out of labour force percent,v88832522,2.3.2.5,
2010,Newfoundland and Labrador,Masters,Males,Out of labour force percent,v88832522,2.3.2.5,
2000,Newfoundland and Labrador,Masters,Males,Unemployed rate,v88832523,2.3.2.6,
2005,Newfoundland and Labrador,Masters,Males,Unemployed rate,v88832523,2.3.2.6,
2010,Newfoundland and Labrador,Masters,Males,Unemployed rate,v88832523,2.3.2.6,
2000,Newfoundland and Labrador,Masters,Females,Number of graduates,v88832524,2.3.3.1,100
2005,Newfoundland and Labrador,Masters,Females,Number of graduates,v88832524,2.3.3.1,200
2010,Newfoundland and Labrador,Masters,Females,Number of graduates,v88832524,2.3.3.1,300
2000,Newfoundland and Labrador,Masters,Females,Employed percent,v88832525,2.3.3.2,93
2005,Newfoundland and Labrador,Masters,Females,Employed percent,v88832525,2.3.3.2,92
2010,Newfoundland and Labrador,Masters,Females,Employed percent,v88832525,2.3.3.2,95
2000,Newfoundland and Labrador,Masters,Females,Employed fulltime percent,v88832526,2.3.3.3,89
2005,Newfoundland and Labrador,Masters,Females,Employed fulltime percent,v88832526,2.3.3.3,82
2010,Newfoundland and Labrador,Masters,Females,Employed fulltime percent,v88832526,2.3.3.3,90
2000,Newfoundland and Labrador,Masters,Females,Employed parttime percent,v88832527,2.3.3.4,
2005,Newfoundland and Labrador,Masters,Females,Employed parttime percent,v88832527,2.3.3.4,10
2010,Newfoundland and Labrador,Masters,Females,Employed parttime percent,v88832527,2.3.3.4,6
2000,Newfoundland and Labrador,Masters,Females,Out of labour force percent,v88832528,2.3.3.5,
2005,Newfoundland and Labrador,Masters,Females,Out of labour force percent,v88832528,2.3.3.5,
2010,Newfoundland and Labrador,Masters,Females,Out of labour force percent,v88832528,2.3.3.5,3
2000,Newfoundland and Labrador,Masters,Females,Unemployed rate,v88832529,2.3.3.6,
2005,Newfoundland and Labrador,Masters,Females,Unemployed rate,v88832529,2.3.3.6,5
2010,Newfoundland and Labrador,Masters,Females,Unemployed rate,v88832529,2.3.3.6,
2000,Newfoundland and Labrador,Doctorate,Both sexes,Number of graduates,v88832530,2.4.1.1,0
2005,Newfoundland and Labrador,Doctorate,Both sexes,Number of graduates,v88832530,2.4.1.1,0
2010,Newfoundland and Labrador,Doctorate,Both sexes,Number of graduates,v88832530,2.4.1.1,0
2000,Newfoundland and Labrador,Doctorate,Both sexes,Employed percent,v88832531,2.4.1.2,64
2005,Newfoundland and Labrador,Doctorate,Both sexes,Employed percent,v88832531,2.4.1.2,87
2010,Newfoundland and Labrador,Doctorate,Both sexes,Employed percent,v88832531,2.4.1.2,100
2000,Newfoundland and Labrador,Doctorate,Both sexes,Employed fulltime percent,v88832532,2.4.1.3,
2005,Newfoundland and Labrador,Doctorate,Both sexes,Employed fulltime percent,v88832532,2.4.1.3,73
2010,Newfoundland and Labrador,Doctorate,Both sexes,Employed fulltime percent,v88832532,2.4.1.3,87
2000,Newfoundland and Labrador,Doctorate,Both sexes,Employed parttime percent,v88832533,2.4.1.4,
2005,Newfoundland and Labrador,Doctorate,Both sexes,Employed parttime percent,v88832533,2.4.1.4,
2010,Newfoundland and Labrador,Doctorate,Both sexes,Employed parttime percent,v88832533,2.4.1.4,
2000,Newfoundland and Labrador,Doctorate,Both sexes,Out of labour force percent,v88832534,2.4.1.5,
2005,Newfoundland and Labrador,Doctorate,Both sexes,Out of labour force percent,v88832534,2.4.1.5,
2010,Newfoundland and Labrador,Doctorate,Both sexes,Out of labour force percent,v88832534,2.4.1.5,
2000,Newfoundland and Labrador,Doctorate,Both sexes,Unemployed rate,v88832535,2.4.1.6,
2005,Newfoundland and Labrador,Doctorate,Both sexes,Unemployed rate,v88832535,2.4.1.6,
2010,Newfoundland and Labrador,Doctorate,Both sexes,Unemployed rate,v88832535,2.4.1.6,
2000,Newfoundland and Labrador,Doctorate,Males,Number of graduates,v88832536,2.4.2.1,0
2005,Newfoundland and Labrador,Doctorate,Males,Number of graduates,v88832536,2.4.2.1,0
2010,Newfoundland and Labrador,Doctorate,Males,Number of graduates,v88832536,2.4.2.1,0
2000,Newfoundland and Labrador,Doctorate,Males,Employed percent,v88832537,2.4.2.2,
2005,Newfoundland and Labrador,Doctorate,Males,Employed percent,v88832537,2.4.2.2,80
2010,Newfoundland and Labrador,Doctorate,Males,Employed percent,v88832537,2.4.2.2,100
2000,Newfoundland and Labrador,Doctorate,Males,Employed fulltime percent,v88832538,2.4.2.3,
2005,Newfoundland and Labrador,Doctorate,Males,Employed fulltime percent,v88832538,2.4.2.3,80
2010,Newfoundland and Labrador,Doctorate,Males,Employed fulltime percent,v88832538,2.4.2.3,100
2000,Newfoundland and Labrador,Doctorate,Males,Employed parttime percent,v88832539,2.4.2.4,
2005,Newfoundland and Labrador,Doctorate,Males,Employed parttime percent,v88832539,2.4.2.4,
2010,Newfoundland and Labrador,Doctorate,Males,Employed parttime percent,v88832539,2.4.2.4,
2000,Newfoundland and Labrador,Doctorate,Males,Out of labour force percent,v88832540,2.4.2.5,
2005,Newfoundland and Labrador,Doctorate,Males,Out of labour force percent,v88832540,2.4.2.5,
2010,Newfoundland and Labrador,Doctorate,Males,Out of labour force percent,v88832540,2.4.2.5,
2000,Newfoundland and Labrador,Doctorate,Males,Unemployed rate,v88832541,2.4.2.6,
2005,Newfoundland and Labrador,Doctorate,Males,Unemployed rate,v88832541,2.4.2.6,
2010,Newfoundland and Labrador,Doctorate,Males,Unemployed rate,v88832541,2.4.2.6,
2000,Newfoundland and Labrador,Doctorate,Females,Number of graduates,v88832542,2.4.3.1,
2005,Newfoundland and Labrador,Doctorate,Females,Number of graduates,v88832542,2.4.3.1,0
2010,Newfoundland and Labrador,Doctorate,Females,Number of graduates,v88832542,2.4.3.1,0
2000,Newfoundland and Labrador,Doctorate,Females,Employed percent,v88832543,2.4.3.2,
2005,Newfoundland and Labrador,Doctorate,Females,Employed percent,v88832543,2.4.3.2,100
2010,Newfoundland and Labrador,Doctorate,Females,Employed percent,v88832543,2.4.3.2,100
2000,Newfoundland and Labrador,Doctorate,Females,Employed fulltime percent,v88832544,2.4.3.3,
2005,Newfoundland and Labrador,Doctorate,Females,Employed fulltime percent,v88832544,2.4.3.3,
2010,Newfoundland and Labrador,Doctorate,Females,Employed fulltime percent,v88832544,2.4.3.3,73
2000,Newfoundland and Labrador,Doctorate,Females,Employed parttime percent,v88832545,2.4.3.4,
2005,Newfoundland and Labrador,Doctorate,Females,Employed parttime percent,v88832545,2.4.3.4,
2010,Newfoundland and Labrador,Doctorate,Females,Employed parttime percent,v88832545,2.4.3.4,
2000,Newfoundland and Labrador,Doctorate,Females,Out of labour force percent,v88832546,2.4.3.5,
2005,Newfoundland and Labrador,Doctorate,Females,Out of labour force percent,v88832546,2.4.3.5,
2010,Newfoundland and Labrador,Doctorate,Females,Out of labour force percent,v88832546,2.4.3.5,
2000,Newfoundland and Labrador,Doctorate,Females,Unemployed rate,v88832547,2.4.3.6,
2005,Newfoundland and Labrador,Doctorate,Females,Unemployed rate,v88832547,2.4.3.6,
2010,Newfoundland and Labrador,Doctorate,Females,Unemployed rate,v88832547,2.4.3.6,
2000,Prince Edward Island,College,Both sexes,Number of graduates,v88832548,3.1.1.1,800
2005,Prince Edward Island,College,Both sexes,Number of graduates,v88832548,3.1.1.1,600
2010,Prince Edward Island,College,Both sexes,Number of graduates,v88832548,3.1.1.1,700
2000,Prince Edward Island,College,Both sexes,Employed percent,v88832549,3.1.1.2,91
2005,Prince Edward Island,College,Both sexes,Employed percent,v88832549,3.1.1.2,88
2010,Prince Edward Island,College,Both sexes,Employed percent,v88832549,3.1.1.2,89
2000,Prince Edward Island,College,Both sexes,Employed fulltime percent,v88832550,3.1.1.3,85
2005,Prince Edward Island,College,Both sexes,Employed fulltime percent,v88832550,3.1.1.3,83
2010,Prince Edward Island,College,Both sexes,Employed fulltime percent,v88832550,3.1.1.3,82
2000,Prince Edward Island,College,Both sexes,Employed parttime percent,v88832551,3.1.1.4,6
2005,Prince Edward Island,College,Both sexes,Employed parttime percent,v88832551,3.1.1.4,4
2010,Prince Edward Island,College,Both sexes,Employed parttime percent,v88832551,3.1.1.4,7
2000,Prince Edward Island,College,Both sexes,Out of labour force percent,v88832552,3.1.1.5,1
2005,Prince Edward Island,College,Both sexes,Out of labour force percent,v88832552,3.1.1.5,2
2010,Prince Edward Island,College,Both sexes,Out of labour force percent,v88832552,3.1.1.5,5
2000,Prince Edward Island,College,Both sexes,Unemployed rate,v88832553,3.1.1.6,8
2005,Prince Edward Island,College,Both sexes,Unemployed rate,v88832553,3.1.1.6,10
2010,Prince Edward Island,College,Both sexes,Unemployed rate,v88832553,3.1.1.6,7
2000,Prince Edward Island,College,Males,Number of graduates,v88832554,3.1.2.1,400
2005,Prince Edward Island,College,Males,Number of graduates,v88832554,3.1.2.1,300
2010,Prince Edward Island,College,Males,Number of graduates,v88832554,3.1.2.1,400
2000,Prince Edward Island,College,Males,Employed percent,v88832555,3.1.2.2,93
2005,Prince Edward Island,College,Males,Employed percent,v88832555,3.1.2.2,87
2010,Prince Edward Island,College,Males,Employed percent,v88832555,3.1.2.2,88
2000,Prince Edward Island,College,Males,Employed fulltime percent,v88832556,3.1.2.3,90
2005,Prince Edward Island,College,Males,Employed fulltime percent,v88832556,3.1.2.3,85
2010,Prince Edward Island,College,Males,Employed fulltime percent,v88832556,3.1.2.3,84
2000,Prince Edward Island,College,Males,Employed parttime percent,v88832557,3.1.2.4,3
2005,Prince Edward Island,College,Males,Employed parttime percent,v88832557,3.1.2.4,
2010,Prince Edward Island,College,Males,Employed parttime percent,v88832557,3.1.2.4,
2000,Prince Edward Island,College,Males,Out of labour force percent,v88832558,3.1.2.5,
2005,Prince Edward Island,College,Males,Out of labour force percent,v88832558,3.1.2.5,2
2010,Prince Edward Island,College,Males,Out of labour force percent,v88832558,3.1.2.5,
2000,Prince Edward Island,College,Males,Unemployed rate,v88832559,3.1.2.6,6
2005,Prince Edward Island,College,Males,Unemployed rate,v88832559,3.1.2.6,11
2010,Prince Edward Island,College,Males,Unemployed rate,v88832559,3.1.2.6,8
2000,Prince Edward Island,College,Females,Number of graduates,v88832560,3.1.3.1,400
2005,Prince Edward Island,College,Females,Number of graduates,v88832560,3.1.3.1,300
2010,Prince Edward Island,College,Females,Number of graduates,v88832560,3.1.3.1,300
2000,Prince Edward Island,College,Females,Employed percent,v88832561,3.1.3.2,89
2005,Prince Edward Island,College,Females,Employed percent,v88832561,3.1.3.2,88
2010,Prince Edward Island,College,Females,Employed percent,v88832561,3.1.3.2,90
2000,Prince Edward Island,College,Females,Employed fulltime percent,v88832562,3.1.3.3,80
2005,Prince Edward Island,College,Females,Employed fulltime percent,v88832562,3.1.3.3,80
2010,Prince Edward Island,College,Females,Employed fulltime percent,v88832562,3.1.3.3,79
2000,Prince Edward Island,College,Females,Employed parttime percent,v88832563,3.1.3.4,9
2005,Prince Edward Island,College,Females,Employed parttime percent,v88832563,3.1.3.4,7
2010,Prince Edward Island,College,Females,Employed parttime percent,v88832563,3.1.3.4,11
2000,Prince Edward Island,College,Females,Out of labour force percent,v88832564,3.1.3.5,2
2005,Prince Edward Island,College,Females,Out of labour force percent,v88832564,3.1.3.5,3
2010,Prince Edward Island,College,Females,Out of labour force percent,v88832564,3.1.3.5,
2000,Prince Edward Island,College,Females,Unemployed rate,v88832565,3.1.3.6,9
2005,Prince Edward Island,College,Females,Unemployed rate,v88832565,3.1.3.6,10
2010,Prince Edward Island,College,Females,Unemployed rate,v88832565,3.1.3.6,
2000,Prince Edward Island,Bachelors,Both sexes,Number of graduates,v88832566,3.2.1.1,300
2005,Prince Edward Island,Bachelors,Both sexes,Number of graduates,v88832566,3.2.1.1,300
2010,Prince Edward Island,Bachelors,Both sexes,Number of graduates,v88832566,3.2.1.1,400
2000,Prince Edward Island,Bachelors,Both sexes,Employed percent,v88832567,3.2.1.2,91
2005,Prince Edward Island,Bachelors,Both sexes,Employed percent,v88832567,3.2.1.2,88
2010,Prince Edward Island,Bachelors,Both sexes,Employed percent,v88832567,3.2.1.2,95
2000,Prince Edward Island,Bachelors,Both sexes,Employed fulltime percent,v88832568,3.2.1.3,82
2005,Prince Edward Island,Bachelors,Both sexes,Employed fulltime percent,v88832568,3.2.1.3,79
2010,Prince Edward Island,Bachelors,Both sexes,Employed fulltime percent,v88832568,3.2.1.3,87
2000,Prince Edward Island,Bachelors,Both sexes,Employed parttime percent,v88832569,3.2.1.4,8
2005,Prince Edward Island,Bachelors,Both sexes,Employed parttime percent,v88832569,3.2.1.4,9
2010,Prince Edward Island,Bachelors,Both sexes,Employed parttime percent,v88832569,3.2.1.4,7
2000,Prince Edward Island,Bachelors,Both sexes,Out of labour force percent,v88832570,3.2.1.5,
2005,Prince Edward Island,Bachelors,Both sexes,Out of labour force percent,v88832570,3.2.1.5,4
2010,Prince Edward Island,Bachelors,Both sexes,Out of labour force percent,v88832570,3.2.1.5,
2000,Prince Edward Island,Bachelors,Both sexes,Unemployed rate,v88832571,3.2.1.6,7
2005,Prince Edward Island,Bachelors,Both sexes,Unemployed rate,v88832571,3.2.1.6,9
2010,Prince Edward Island,Bachelors,Both sexes,Unemployed rate,v88832571,3.2.1.6,4
2000,Prince Edward Island,Bachelors,Males,Number of graduates,v88832572,3.2.2.1,100
2005,Prince Edward Island,Bachelors,Males,Number of graduates,v88832572,3.2.2.1,100
2010,Prince Edward Island,Bachelors,Males,Number of graduates,v88832572,3.2.2.1,100
2000,Prince Edward Island,Bachelors,Males,Employed percent,v88832573,3.2.2.2,93
2005,Prince Edward Island,Bachelors,Males,Employed percent,v88832573,3.2.2.2,94
2010,Prince Edward Island,Bachelors,Males,Employed percent,v88832573,3.2.2.2,92
2000,Prince Edward Island,Bachelors,Males,Employed fulltime percent,v88832574,3.2.2.3,89
2005,Prince Edward Island,Bachelors,Males,Employed fulltime percent,v88832574,3.2.2.3,87
2010,Prince Edward Island,Bachelors,Males,Employed fulltime percent,v88832574,3.2.2.3,89
2000,Prince Edward Island,Bachelors,Males,Employed parttime percent,v88832575,3.2.2.4,
2005,Prince Edward Island,Bachelors,Males,Employed parttime percent,v88832575,3.2.2.4,
2010,Prince Edward Island,Bachelors,Males,Employed parttime percent,v88832575,3.2.2.4,
2000,Prince Edward Island,Bachelors,Males,Out of labour force percent,v88832576,3.2.2.5,
2005,Prince Edward Island,Bachelors,Males,Out of labour force percent,v88832576,3.2.2.5,
2010,Prince Edward Island,Bachelors,Males,Out of labour force percent,v88832576,3.2.2.5,
2000,Prince Edward Island,Bachelors,Males,Unemployed rate,v88832577,3.2.2.6,
2005,Prince Edward Island,Bachelors,Males,Unemployed rate,v88832577,3.2.2.6,
2010,Prince Edward Island,Bachelors,Males,Unemployed rate,v88832577,3.2.2.6,
2000,Prince Edward Island,Bachelors,Females,Number of graduates,v88832578,3.2.3.1,200
2005,Prince Edward Island,Bachelors,Females,Number of graduates,v88832578,3.2.3.1,200
