Ref_Date,Geo,Level,Stats,Vector,Coordinate,Value
2010,Newfoundland and Labrador,College,Married or living common-law percent,v88836335,2.1.12,45
2000,Newfoundland and Labrador,College,With dependent children percent,v88836336,2.1.13,19
2005,Newfoundland and Labrador,College,With dependent children percent,v88836336,2.1.13,27
2010,Newfoundland and Labrador,College,With dependent children percent,v88836336,2.1.13,34
2000,Newfoundland and Labrador,College,With previous postsecondary education percent,v88836337,2.1.14,38
2005,Newfoundland and Labrador,College,With previous postsecondary education percent,v88836337,2.1.14,46
2010,Newfoundland and Labrador,College,With previous postsecondary education percent,v88836337,2.1.14,43
2000,Newfoundland and Labrador,Bachelors,Number of graduates,v88836338,2.2.1,800
2005,Newfoundland and Labrador,Bachelors,Number of graduates,v88836338,2.2.1,1000
2010,Newfoundland and Labrador,Bachelors,Number of graduates,v88836338,2.2.1,700
2000,Newfoundland and Labrador,Bachelors,Average debt owed at graduation dollars,v88836339,2.2.2,28500
2005,Newfoundland and Labrador,Bachelors,Average debt owed at graduation dollars,v88836339,2.2.2,28200
2010,Newfoundland and Labrador,Bachelors,Average debt owed at graduation dollars,v88836339,2.2.2,27300
2000,Newfoundland and Labrador,Bachelors,Large debt at graduation 25000 and over percent,v88836340,2.2.3,63
2005,Newfoundland and Labrador,Bachelors,Large debt at graduation 25000 and over percent,v88836340,2.2.3,59
2010,Newfoundland and Labrador,Bachelors,Large debt at graduation 25000 and over percent,v88836340,2.2.3,55
2000,Newfoundland and Labrador,Bachelors,Average debt owed at time of interview dollars,v88836341,2.2.4,21800
2005,Newfoundland and Labrador,Bachelors,Average debt owed at time of interview dollars,v88836341,2.2.4,19400
2010,Newfoundland and Labrador,Bachelors,Average debt owed at time of interview dollars,v88836341,2.2.4,13000
2000,Newfoundland and Labrador,Bachelors,Large debt at time of interview 25000 and over percent,v88836342,2.2.5,50
2005,Newfoundland and Labrador,Bachelors,Large debt at time of interview 25000 and over percent,v88836342,2.2.5,45
2010,Newfoundland and Labrador,Bachelors,Large debt at time of interview 25000 and over percent,v88836342,2.2.5,29
2000,Newfoundland and Labrador,Bachelors,Percentage of debt paid off at time of interview,v88836343,2.2.6,24
2005,Newfoundland and Labrador,Bachelors,Percentage of debt paid off at time of interview,v88836343,2.2.6,32
2010,Newfoundland and Labrador,Bachelors,Percentage of debt paid off at time of interview,v88836343,2.2.6,53
2000,Newfoundland and Labrador,Bachelors,Employed interview year percent,v88836344,2.2.7,87
2005,Newfoundland and Labrador,Bachelors,Employed interview year percent,v88836344,2.2.7,87
2010,Newfoundland and Labrador,Bachelors,Employed interview year percent,v88836344,2.2.7,90
2000,Newfoundland and Labrador,Bachelors,Without income year prior to interview percent,v88836345,2.2.8,
2005,Newfoundland and Labrador,Bachelors,Without income year prior to interview percent,v88836345,2.2.8,
2010,Newfoundland and Labrador,Bachelors,Without income year prior to interview percent,v88836345,2.2.8,
2000,Newfoundland and Labrador,Bachelors,Average income  year prior to interview dollars,v88836346,2.2.9,32700
2005,Newfoundland and Labrador,Bachelors,Average income  year prior to interview dollars,v88836346,2.2.9,38600
2010,Newfoundland and Labrador,Bachelors,Average income  year prior to interview dollars,v88836346,2.2.9,61300
2000,Newfoundland and Labrador,Bachelors,Average age at graduation years,v88836347,2.2.10,25
2005,Newfoundland and Labrador,Bachelors,Average age at graduation years,v88836347,2.2.10,25
2010,Newfoundland and Labrador,Bachelors,Average age at graduation years,v88836347,2.2.10,26
2000,Newfoundland and Labrador,Bachelors,Median age at graduation years,v88836348,2.2.11,24
2005,Newfoundland and Labrador,Bachelors,Median age at graduation years,v88836348,2.2.11,24
2010,Newfoundland and Labrador,Bachelors,Median age at graduation years,v88836348,2.2.11,25
2000,Newfoundland and Labrador,Bachelors,Married or living common-law percent,v88836349,2.2.12,34
2005,Newfoundland and Labrador,Bachelors,Married or living common-law percent,v88836349,2.2.12,41
2010,Newfoundland and Labrador,Bachelors,Married or living common-law percent,v88836349,2.2.12,68
2000,Newfoundland and Labrador,Bachelors,With dependent children percent,v88836350,2.2.13,11
2005,Newfoundland and Labrador,Bachelors,With dependent children percent,v88836350,2.2.13,19
2010,Newfoundland and Labrador,Bachelors,With dependent children percent,v88836350,2.2.13,32
2000,Newfoundland and Labrador,Bachelors,With previous postsecondary education percent,v88836351,2.2.14,46
2005,Newfoundland and Labrador,Bachelors,With previous postsecondary education percent,v88836351,2.2.14,53
2010,Newfoundland and Labrador,Bachelors,With previous postsecondary education percent,v88836351,2.2.14,48
2000,Newfoundland and Labrador,Masters,Number of graduates,v88836352,2.3.1,100
2005,Newfoundland and Labrador,Masters,Number of graduates,v88836352,2.3.1,100
2010,Newfoundland and Labrador,Masters,Number of graduates,v88836352,2.3.1,100
2000,Newfoundland and Labrador,Masters,Average debt owed at graduation dollars,v88836353,2.3.2,20300
2005,Newfoundland and Labrador,Masters,Average debt owed at graduation dollars,v88836353,2.3.2,23500
2010,Newfoundland and Labrador,Masters,Average debt owed at graduation dollars,v88836353,2.3.2,26700
2000,Newfoundland and Labrador,Masters,Large debt at graduation 25000 and over percent,v88836354,2.3.3,28
2005,Newfoundland and Labrador,Masters,Large debt at graduation 25000 and over percent,v88836354,2.3.3,46
2010,Newfoundland and Labrador,Masters,Large debt at graduation 25000 and over percent,v88836354,2.3.3,61
2000,Newfoundland and Labrador,Masters,Average debt owed at time of interview dollars,v88836355,2.3.4,15000
2005,Newfoundland and Labrador,Masters,Average debt owed at time of interview dollars,v88836355,2.3.4,12600
2010,Newfoundland and Labrador,Masters,Average debt owed at time of interview dollars,v88836355,2.3.4,10600
2000,Newfoundland and Labrador,Masters,Large debt at time of interview 25000 and over percent,v88836356,2.3.5,27
2005,Newfoundland and Labrador,Masters,Large debt at time of interview 25000 and over percent,v88836356,2.3.5,31
2010,Newfoundland and Labrador,Masters,Large debt at time of interview 25000 and over percent,v88836356,2.3.5,23
2000,Newfoundland and Labrador,Masters,Percentage of debt paid off at time of interview,v88836357,2.3.6,24
2005,Newfoundland and Labrador,Masters,Percentage of debt paid off at time of interview,v88836357,2.3.6,47
2010,Newfoundland and Labrador,Masters,Percentage of debt paid off at time of interview,v88836357,2.3.6,61
2000,Newfoundland and Labrador,Masters,Employed interview year percent,v88836358,2.3.7,89
2005,Newfoundland and Labrador,Masters,Employed interview year percent,v88836358,2.3.7,93
2010,Newfoundland and Labrador,Masters,Employed interview year percent,v88836358,2.3.7,94
2000,Newfoundland and Labrador,Masters,Without income year prior to interview percent,v88836359,2.3.8,
2005,Newfoundland and Labrador,Masters,Without income year prior to interview percent,v88836359,2.3.8,
2010,Newfoundland and Labrador,Masters,Without income year prior to interview percent,v88836359,2.3.8,
2000,Newfoundland and Labrador,Masters,Average income  year prior to interview dollars,v88836360,2.3.9,36600
2005,Newfoundland and Labrador,Masters,Average income  year prior to interview dollars,v88836360,2.3.9,51400
2010,Newfoundland and Labrador,Masters,Average income  year prior to interview dollars,v88836360,2.3.9,63000
2000,Newfoundland and Labrador,Masters,Average age at graduation years,v88836361,2.3.10,27
2005,Newfoundland and Labrador,Masters,Average age at graduation years,v88836361,2.3.10,29
2010,Newfoundland and Labrador,Masters,Average age at graduation years,v88836361,2.3.10,29
2000,Newfoundland and Labrador,Masters,Median age at graduation years,v88836362,2.3.11,26
2005,Newfoundland and Labrador,Masters,Median age at graduation years,v88836362,2.3.11,28
2010,Newfoundland and Labrador,Masters,Median age at graduation years,v88836362,2.3.11,28
2000,Newfoundland and Labrador,Masters,Married or living common-law percent,v88836363,2.3.12,36
2005,Newfoundland and Labrador,Masters,Married or living common-law percent,v88836363,2.3.12,49
2010,Newfoundland and Labrador,Masters,Married or living common-law percent,v88836363,2.3.12,80
2000,Newfoundland and Labrador,Masters,With dependent children percent,v88836364,2.3.13,10
2005,Newfoundland and Labrador,Masters,With dependent children percent,v88836364,2.3.13,20
2010,Newfoundland and Labrador,Masters,With dependent children percent,v88836364,2.3.13,41
2000,Newfoundland and Labrador,Masters,With previous postsecondary education percent,v88836365,2.3.14,96
2005,Newfoundland and Labrador,Masters,With previous postsecondary education percent,v88836365,2.3.14,98
2010,Newfoundland and Labrador,Masters,With previous postsecondary education percent,v88836365,2.3.14,96
2000,Newfoundland and Labrador,Doctorate,Number of graduates,v88836366,2.4.1,
2005,Newfoundland and Labrador,Doctorate,Number of graduates,v88836366,2.4.1,0
2010,Newfoundland and Labrador,Doctorate,Number of graduates,v88836366,2.4.1,
2000,Newfoundland and Labrador,Doctorate,Average debt owed at graduation dollars,v88836367,2.4.2,
2005,Newfoundland and Labrador,Doctorate,Average debt owed at graduation dollars,v88836367,2.4.2,14800
2010,Newfoundland and Labrador,Doctorate,Average debt owed at graduation dollars,v88836367,2.4.2,
2000,Newfoundland and Labrador,Doctorate,Large debt at graduation 25000 and over percent,v88836368,2.4.3,
2005,Newfoundland and Labrador,Doctorate,Large debt at graduation 25000 and over percent,v88836368,2.4.3,
2010,Newfoundland and Labrador,Doctorate,Large debt at graduation 25000 and over percent,v88836368,2.4.3,
2000,Newfoundland and Labrador,Doctorate,Average debt owed at time of interview dollars,v88836369,2.4.4,
2005,Newfoundland and Labrador,Doctorate,Average debt owed at time of interview dollars,v88836369,2.4.4,7800
2010,Newfoundland and Labrador,Doctorate,Average debt owed at time of interview dollars,v88836369,2.4.4,
2000,Newfoundland and Labrador,Doctorate,Large debt at time of interview 25000 and over percent,v88836370,2.4.5,
2005,Newfoundland and Labrador,Doctorate,Large debt at time of interview 25000 and over percent,v88836370,2.4.5,
2010,Newfoundland and Labrador,Doctorate,Large debt at time of interview 25000 and over percent,v88836370,2.4.5,
2000,Newfoundland and Labrador,Doctorate,Percentage of debt paid off at time of interview,v88836371,2.4.6,30
2005,Newfoundland and Labrador,Doctorate,Percentage of debt paid off at time of interview,v88836371,2.4.6,47
2010,Newfoundland and Labrador,Doctorate,Percentage of debt paid off at time of interview,v88836371,2.4.6,100
2000,Newfoundland and Labrador,Doctorate,Employed interview year percent,v88836372,2.4.7,
2005,Newfoundland and Labrador,Doctorate,Employed interview year percent,v88836372,2.4.7,100
2010,Newfoundland and Labrador,Doctorate,Employed interview year percent,v88836372,2.4.7,
2000,Newfoundland and Labrador,Doctorate,Without income year prior to interview percent,v88836373,2.4.8,
2005,Newfoundland and Labrador,Doctorate,Without income year prior to interview percent,v88836373,2.4.8,
2010,Newfoundland and Labrador,Doctorate,Without income year prior to interview percent,v88836373,2.4.8,
2000,Newfoundland and Labrador,Doctorate,Average income  year prior to interview dollars,v88836374,2.4.9,
2005,Newfoundland and Labrador,Doctorate,Average income  year prior to interview dollars,v88836374,2.4.9,42400
2010,Newfoundland and Labrador,Doctorate,Average income  year prior to interview dollars,v88836374,2.4.9,
2000,Newfoundland and Labrador,Doctorate,Average age at graduation years,v88836375,2.4.10,
2005,Newfoundland and Labrador,Doctorate,Average age at graduation years,v88836375,2.4.10,36
2010,Newfoundland and Labrador,Doctorate,Average age at graduation years,v88836375,2.4.10,
2000,Newfoundland and Labrador,Doctorate,Median age at graduation years,v88836376,2.4.11,
2005,Newfoundland and Labrador,Doctorate,Median age at graduation years,v88836376,2.4.11,
2010,Newfoundland and Labrador,Doctorate,Median age at graduation years,v88836376,2.4.11,
2000,Newfoundland and Labrador,Doctorate,Married or living common-law percent,v88836377,2.4.12,
2005,Newfoundland and Labrador,Doctorate,Married or living common-law percent,v88836377,2.4.12,
2010,Newfoundland and Labrador,Doctorate,Married or living common-law percent,v88836377,2.4.12,
2000,Newfoundland and Labrador,Doctorate,With dependent children percent,v88836378,2.4.13,
2005,Newfoundland and Labrador,Doctorate,With dependent children percent,v88836378,2.4.13,
2010,Newfoundland and Labrador,Doctorate,With dependent children percent,v88836378,2.4.13,
2000,Newfoundland and Labrador,Doctorate,With previous postsecondary education percent,v88836379,2.4.14,
2005,Newfoundland and Labrador,Doctorate,With previous postsecondary education percent,v88836379,2.4.14,100
2010,Newfoundland and Labrador,Doctorate,With previous postsecondary education percent,v88836379,2.4.14,
2000,Prince Edward Island,College,Number of graduates,v88836380,3.1.1,400
2005,Prince Edward Island,College,Number of graduates,v88836380,3.1.1,300
2010,Prince Edward Island,College,Number of graduates,v88836380,3.1.1,300
2000,Prince Edward Island,College,Average debt owed at graduation dollars,v88836381,3.1.2,12700
2005,Prince Edward Island,College,Average debt owed at graduation dollars,v88836381,3.1.2,14100
2010,Prince Edward Island,College,Average debt owed at graduation dollars,v88836381,3.1.2,14100
2000,Prince Edward Island,College,Large debt at graduation 25000 and over percent,v88836382,3.1.3,9
2005,Prince Edward Island,College,Large debt at graduation 25000 and over percent,v88836382,3.1.3,13
2010,Prince Edward Island,College,Large debt at graduation 25000 and over percent,v88836382,3.1.3,12
2000,Prince Edward Island,College,Average debt owed at time of interview dollars,v88836383,3.1.4,10000
2005,Prince Edward Island,College,Average debt owed at time of interview dollars,v88836383,3.1.4,10700
2010,Prince Edward Island,College,Average debt owed at time of interview dollars,v88836383,3.1.4,8900
2000,Prince Edward Island,College,Large debt at time of interview 25000 and over percent,v88836384,3.1.5,8
2005,Prince Edward Island,College,Large debt at time of interview 25000 and over percent,v88836384,3.1.5,9
2010,Prince Edward Island,College,Large debt at time of interview 25000 and over percent,v88836384,3.1.5,
2000,Prince Edward Island,College,Percentage of debt paid off at time of interview,v88836385,3.1.6,23
2005,Prince Edward Island,College,Percentage of debt paid off at time of interview,v88836385,3.1.6,25
2010,Prince Edward Island,College,Percentage of debt paid off at time of interview,v88836385,3.1.6,42
2000,Prince Edward Island,College,Employed interview year percent,v88836386,3.1.7,91
2005,Prince Edward Island,College,Employed interview year percent,v88836386,3.1.7,88
2010,Prince Edward Island,College,Employed interview year percent,v88836386,3.1.7,92
2000,Prince Edward Island,College,Without income year prior to interview percent,v88836387,3.1.8,
2005,Prince Edward Island,College,Without income year prior to interview percent,v88836387,3.1.8,
2010,Prince Edward Island,College,Without income year prior to interview percent,v88836387,3.1.8,
2000,Prince Edward Island,College,Average income  year prior to interview dollars,v88836388,3.1.9,24200
2005,Prince Edward Island,College,Average income  year prior to interview dollars,v88836388,3.1.9,28000
2010,Prince Edward Island,College,Average income  year prior to interview dollars,v88836388,3.1.9,36800
2000,Prince Edward Island,College,Average age at graduation years,v88836389,3.1.10,25
2005,Prince Edward Island,College,Average age at graduation years,v88836389,3.1.10,25
2010,Prince Edward Island,College,Average age at graduation years,v88836389,3.1.10,23
2000,Prince Edward Island,College,Median age at graduation years,v88836390,3.1.11,23
2005,Prince Edward Island,College,Median age at graduation years,v88836390,3.1.11,23
2010,Prince Edward Island,College,Median age at graduation years,v88836390,3.1.11,21
2000,Prince Edward Island,College,Married or living common-law percent,v88836391,3.1.12,30
2005,Prince Edward Island,College,Married or living common-law percent,v88836391,3.1.12,32
2010,Prince Edward Island,College,Married or living common-law percent,v88836391,3.1.12,29
2000,Prince Edward Island,College,With dependent children percent,v88836392,3.1.13,24
2005,Prince Edward Island,College,With dependent children percent,v88836392,3.1.13,25
2010,Prince Edward Island,College,With dependent children percent,v88836392,3.1.13,16
2000,Prince Edward Island,College,With previous postsecondary education percent,v88836393,3.1.14,45
2005,Prince Edward Island,College,With previous postsecondary education percent,v88836393,3.1.14,50
2010,Prince Edward Island,College,With previous postsecondary education percent,v88836393,3.1.14,38
2000,Prince Edward Island,Bachelors,Number of graduates,v88836394,3.2.1,100
2005,Prince Edward Island,Bachelors,Number of graduates,v88836394,3.2.1,200
2010,Prince Edward Island,Bachelors,Number of graduates,v88836394,3.2.1,200
2000,Prince Edward Island,Bachelors,Average debt owed at graduation dollars,v88836395,3.2.2,19800
2005,Prince Edward Island,Bachelors,Average debt owed at graduation dollars,v88836395,3.2.2,25800
2010,Prince Edward Island,Bachelors,Average debt owed at graduation dollars,v88836395,3.2.2,27000
2000,Prince Edward Island,Bachelors,Large debt at graduation 25000 and over percent,v88836396,3.2.3,33
2005,Prince Edward Island,Bachelors,Large debt at graduation 25000 and over percent,v88836396,3.2.3,52
2010,Prince Edward Island,Bachelors,Large debt at graduation 25000 and over percent,v88836396,3.2.3,52
2000,Prince Edward Island,Bachelors,Average debt owed at time of interview dollars,v88836397,3.2.4,13700
2005,Prince Edward Island,Bachelors,Average debt owed at time of interview dollars,v88836397,3.2.4,19600
2010,Prince Edward Island,Bachelors,Average debt owed at time of interview dollars,v88836397,3.2.4,16600
2000,Prince Edward Island,Bachelors,Large debt at time of interview 25000 and over percent,v88836398,3.2.5,27
2005,Prince Edward Island,Bachelors,Large debt at time of interview 25000 and over percent,v88836398,3.2.5,36
2010,Prince Edward Island,Bachelors,Large debt at time of interview 25000 and over percent,v88836398,3.2.5,33
2000,Prince Edward Island,Bachelors,Percentage of debt paid off at time of interview,v88836399,3.2.6,30
2005,Prince Edward Island,Bachelors,Percentage of debt paid off at time of interview,v88836399,3.2.6,23
2010,Prince Edward Island,Bachelors,Percentage of debt paid off at time of interview,v88836399,3.2.6,40
2000,Prince Edward Island,Bachelors,Employed interview year percent,v88836400,3.2.7,91
2005,Prince Edward Island,Bachelors,Employed interview year percent,v88836400,3.2.7,88
2010,Prince Edward Island,Bachelors,Employed interview year percent,v88836400,3.2.7,96
2000,Prince Edward Island,Bachelors,Without income year prior to interview percent,v88836401,3.2.8,
2005,Prince Edward Island,Bachelors,Without income year prior to interview percent,v88836401,3.2.8,
2010,Prince Edward Island,Bachelors,Without income year prior to interview percent,v88836401,3.2.8,
2000,Prince Edward Island,Bachelors,Average income  year prior to interview dollars,v88836402,3.2.9,30100
2005,Prince Edward Island,Bachelors,Average income  year prior to interview dollars,v88836402,3.2.9,35100
2010,Prince Edward Island,Bachelors,Average income  year prior to interview dollars,v88836402,3.2.9,47800
2000,Prince Edward Island,Bachelors,Average age at graduation years,v88836403,3.2.10,25
2005,Prince Edward Island,Bachelors,Average age at graduation years,v88836403,3.2.10,25
2010,Prince Edward Island,Bachelors,Average age at graduation years,v88836403,3.2.10,26
2000,Prince Edward Island,Bachelors,Median age at graduation years,v88836404,3.2.11,24
2005,Prince Edward Island,Bachelors,Median age at graduation years,v88836404,3.2.11,24
2010,Prince Edward Island,Bachelors,Median age at graduation years,v88836404,3.2.11,25
2000,Prince Edward Island,Bachelors,Married or living common-law percent,v88836405,3.2.12,48
2005,Prince Edward Island,Bachelors,Married or living common-law percent,v88836405,3.2.12,44
2010,Prince Edward Island,Bachelors,Married or living common-law percent,v88836405,3.2.12,54
2000,Prince Edward Island,Bachelors,With dependent children percent,v88836406,3.2.13,20
2005,Prince Edward Island,Bachelors,With dependent children percent,v88836406,3.2.13,25
2010,Prince Edward Island,Bachelors,With dependent children percent,v88836406,3.2.13,22
2000,Prince Edward Island,Bachelors,With previous postsecondary education percent,v88836407,3.2.14,47
2005,Prince Edward Island,Bachelors,With previous postsecondary education percent,v88836407,3.2.14,43
2010,Prince Edward Island,Bachelors,With previous postsecondary education percent,v88836407,3.2.14,53
2000,Prince Edward Island,Masters,Number of graduates,v88836408,3.3.1,
2005,Prince Edward Island,Masters,Number of graduates,v88836408,3.3.1,
2010,Prince Edward Island,Masters,Number of graduates,v88836408,3.3.1,
2000,Prince Edward Island,Masters,Average debt owed at graduation dollars,v88836409,3.3.2,
2005,Prince Edward Island,Masters,Average debt owed at graduation dollars,v88836409,3.3.2,
2010,Prince Edward Island,Masters,Average debt owed at graduation dollars,v88836409,3.3.2,
2000,Prince Edward Island,Masters,Large debt at graduation 25000 and over percent,v88836410,3.3.3,
2005,Prince Edward Island,Masters,Large debt at graduation 25000 and over percent,v88836410,3.3.3,
2010,Prince Edward Island,Masters,Large debt at graduation 25000 and over percent,v88836410,3.3.3,
2000,Prince Edward Island,Masters,Average debt owed at time of interview dollars,v88836411,3.3.4,
2005,Prince Edward Island,Masters,Average debt owed at time of interview dollars,v88836411,3.3.4,
2010,Prince Edward Island,Masters,Average debt owed at time of interview dollars,v88836411,3.3.4,
2000,Prince Edward Island,Masters,Large debt at time of interview 25000 and over percent,v88836412,3.3.5,
2005,Prince Edward Island,Masters,Large debt at time of interview 25000 and over percent,v88836412,3.3.5,
2010,Prince Edward Island,Masters,Large debt at time of interview 25000 and over percent,v88836412,3.3.5,
2000,Prince Edward Island,Masters,Percentage of debt paid off at time of interview,v88836413,3.3.6,
2005,Prince Edward Island,Masters,Percentage of debt paid off at time of interview,v88836413,3.3.6,74
2010,Prince Edward Island,Masters,Percentage of debt paid off at time of interview,v88836413,3.3.6,72
2000,Prince Edward Island,Masters,Employed interview year percent,v88836414,3.3.7,
2005,Prince Edward Island,Masters,Employed interview year percent,v88836414,3.3.7
2010,Prince Edward Island,Masters,Employed interview year percent,v88836414,3.3.7
2000,Prince Edward Island,Masters,Without income year prior to interview percent,v88836415,3.3.8
2005,Prince Edward Island,Masters,Without income year prior to interview percent,v88836415,3.3.8
2010,Prince Edward Island,Masters,Without income year prior to interview percent,v88836415,3.3.8
2000,Prince Edward Island,Masters,Average income  year prior to interview dollars,v88836416,3.3.9
2005,Prince Edward Island,Masters,Average income  year prior to interview dollars,v88836416,3.3.9
2010,Prince Edward Island,Masters,Average income  year prior to interview dollars,v88836416,3.3.9
2000,Prince Edward Island,Masters,Average age at graduation years,v88836417,3.3.10
2005,Prince Edward Island,Masters,Average age at graduation years,v88836417,3.3.10
2010,Prince Edward Island,Masters,Average age at graduation years,v88836417,3.3.10
2000,Prince Edward Island,Masters,Median age at graduation years,v88836418,3.3.11
2005,Prince Edward Island,Masters,Median age at graduation years,v88836418,3.3.11
2010,Prince Edward Island,Masters,Median age at graduation years,v88836418,3.3.11
2000,Prince Edward Island,Masters,Married or living common-law percent,v88836419,3.3.12
2005,Prince Edward Island,Masters,Married or living common-law percent,v88836419,3.3.12
2010,Prince Edward Island,Masters,Married or living common-law percent,v88836419,3.3.12
2000,Prince Edward Island,Masters,With dependent children percent,v88836420,3.3.13
2005,Prince Edward Island,Masters,With dependent children percent,v88836420,3.3.13
2010,Prince Edward Island,Masters,With dependent children percent,v88836420,3.3.13
2000,Prince Edward Island,Masters,With previous postsecondary education percent,v88836421,3.3.14
2005,Prince Edward Island,Masters,With previous postsecondary education percent,v88836421,3.3.14
2010,Prince Edward Island,Masters,With previous postsecondary education percent,v88836421,3.3.14
2000,Prince Edward Island,Doctorate,Number of graduates,v88836422,3.4.1
2005,Prince Edward Island,Doctorate,Number of graduates,v88836422,3.4.1
2010,Prince Edward Island,Doctorate,Number of graduates,v88836422,3.4.1
2000,Prince Edward Island,Doctorate,Average debt owed at graduation dollars,v88836423,3.4.2
2005,Prince Edward Island,Doctorate,Average debt owed at graduation dollars,v88836423,3.4.2
2010,Prince Edward Island,Doctorate,Average debt owed at graduation dollars,v88836423,3.4.2
2000,Prince Edward Island,Doctorate,Large debt at graduation 25000 and over percent,v88836424,3.4.3
2005,Prince Edward Island,Doctorate,Large debt at graduation 25000 and over percent,v88836424,3.4.3
2010,Prince Edward Island,Doctorate,Large debt at graduation 25000 and over percent,v88836424,3.4.3
2000,Prince Edward Island,Doctorate,Average debt owed at time of interview dollars,v88836425,3.4.4,
2005,Prince Edward Island,Doctorate,Average debt owed at time of interview dollars,v88836425,3.4.4,
2010,Prince Edward Island,Doctorate,Average debt owed at time of interview dollars,v88836425,3.4.4,
2000,Prince Edward Island,Doctorate,Large debt at time of interview 25000 and over percent,v88836426,3.4.5,
2005,Prince Edward Island,Doctorate,Large debt at time of interview 25000 and over percent,v88836426,3.4.5,
2010,Prince Edward Island,Doctorate,Large debt at time of interview 25000 and over percent,v88836426,3.4.5,
2000,Prince Edward Island,Doctorate,Percentage of debt paid off at time of interview,v88836427,3.4.6,44
2005,Prince Edward Island,Doctorate,Percentage of debt paid off at time of interview,v88836427,3.4.6,100
2010,Prince Edward Island,Doctorate,Percentage of debt paid off at time of interview,v88836427,3.4.6,22
2000,Prince Edward Island,Doctorate,Employed interview year percent,v88836428,3.4.7,
2005,Prince Edward Island,Doctorate,Employed interview year percent,v88836428,3.4.7,
2010,Prince Edward Island,Doctorate,Employed interview year percent,v88836428,3.4.7,
2000,Prince Edward Island,Doctorate,Without income year prior to interview percent,v88836429,3.4.8,
2005,Prince Edward Island,Doctorate,Without income year prior to interview percent,v88836429,3.4.8,
2010,Prince Edward Island,Doctorate,Without income year prior to interview percent,v88836429,3.4.8,
2000,Prince Edward Island,Doctorate,Average income  year prior to interview dollars,v88836430,3.4.9,
2005,Prince Edward Island,Doctorate,Average income  year prior to interview dollars,v88836430,3.4.9
2010,Prince Edward Island,Doctorate,Average income  year prior to interview dollars,v88836430,3.4.9
2000,Prince Edward Island,Doctorate,Average age at graduation years,v88836431,3.4.10
2005,Prince Edward Island,Doctorate,Average age at graduation years,v88836431,3.4.10
2010,Prince Edward Island,Doctorate,Average age at graduation years,v88836431,3.4.10
2000,Prince Edward Island,Doctorate,Median age at graduation years,v88836432,3.4.11
