Ref_Date,GEO,LEVEL,STATS,Vector,Coordinate,Value
2000,Canada,Bachelor's,Average age at graduation (years),v88836291,1.2.10,26.00
2005,Canada,Bachelor's,Average age at graduation (years),v88836291,1.2.10,26.00
2010,Canada,Bachelor's,Average age at graduation (years),v88836291,1.2.10,27.00
2000,Canada,Bachelor's,Median age at graduation (years),v88836292,1.2.11,24.00
2005,Canada,Bachelor's,Median age at graduation (years),v88836292,1.2.11,24.00
2010,Canada,Bachelor's,Median age at graduation (years),v88836292,1.2.11,25.00
2000,Canada,Bachelor's,Married or living common-law (percent),v88836293,1.2.12,38.00
2005,Canada,Bachelor's,Married or living common-law (percent),v88836293,1.2.12,41.00
2010,Canada,Bachelor's,Married or living common-law (percent),v88836293,1.2.12,49.00
2000,Canada,Bachelor's,With dependent children (percent),v88836294,1.2.13,17.00
2005,Canada,Bachelor's,With dependent children (percent),v88836294,1.2.13,19.00
2010,Canada,Bachelor's,With dependent children (percent),v88836294,1.2.13,23.00
2000,Canada,Bachelor's,With previous postsecondary education (percent),v88836295,1.2.14,57.00
2005,Canada,Bachelor's,With previous postsecondary education (percent),v88836295,1.2.14,59.00
2010,Canada,Bachelor's,With previous postsecondary education (percent),v88836295,1.2.14,59.00
2000,Canada,Master's,Number of graduates,v88836296,1.3.1,8000.00
2005,Canada,Master's,Number of graduates,v88836296,1.3.1,8400.00
2010,Canada,Master's,Number of graduates,v88836296,1.3.1,10000.00
2000,Canada,Master's,Average debt owed at graduation (dollars),v88836297,1.3.2,18400.00
2005,Canada,Master's,Average debt owed at graduation (dollars),v88836297,1.3.2,19000.00
2010,Canada,Master's,Average debt owed at graduation (dollars),v88836297,1.3.2,20600.00
2000,Canada,Master's,"Large debt at graduation ($25,000 and over) (percent)",v88836298,1.3.3,26.00
2005,Canada,Master's,"Large debt at graduation ($25,000 and over) (percent)",v88836298,1.3.3,27.00
2010,Canada,Master's,"Large debt at graduation ($25,000 and over) (percent)",v88836298,1.3.3,34.00
2000,Canada,Master's,Average debt owed at time of interview (dollars),v88836299,1.3.4,11700.00
2005,Canada,Master's,Average debt owed at time of interview (dollars),v88836299,1.3.4,10600.00
2010,Canada,Master's,Average debt owed at time of interview (dollars),v88836299,1.3.4,9200.00
2000,Canada,Master's,"Large debt at time of interview ($25,000 and over) (percent)",v88836300,1.3.5,21.00
2005,Canada,Master's,"Large debt at time of interview ($25,000 and over) (percent)",v88836300,1.3.5,20.00
2010,Canada,Master's,"Large debt at time of interview ($25,000 and over) (percent)",v88836300,1.3.5,22.00
2000,Canada,Master's,Percentage of debt paid off at time of interview,v88836301,1.3.6,36.00
2005,Canada,Master's,Percentage of debt paid off at time of interview,v88836301,1.3.6,44.00
2010,Canada,Master's,Percentage of debt paid off at time of interview,v88836301,1.3.6,55.00
2000,Canada,Master's,Employed (interview year) (percent),v88836302,1.3.7,90.00
2005,Canada,Master's,Employed (interview year) (percent),v88836302,1.3.7,92.00
2010,Canada,Master's,Employed (interview year) (percent),v88836302,1.3.7,92.00
2000,Canada,Master's,Without income (year prior to interview) (percent),v88836303,1.3.8,F
2005,Canada,Master's,Without income (year prior to interview) (percent),v88836303,1.3.8,F
2010,Canada,Master's,Without income (year prior to interview) (percent),v88836303,1.3.8,F
2000,Canada,Master's,Average income  (year prior to interview) (dollars),v88836304,1.3.9,41600.00
2005,Canada,Master's,Average income  (year prior to interview) (dollars),v88836304,1.3.9,46800.00
2010,Canada,Master's,Average income  (year prior to interview) (dollars),v88836304,1.3.9,60800.00
2000,Canada,Master's,Average age at graduation (years),v88836305,1.3.10,29.00
2005,Canada,Master's,Average age at graduation (years),v88836305,1.3.10,29.00
2010,Canada,Master's,Average age at graduation (years),v88836305,1.3.10,29.00
2000,Canada,Master's,Median age at graduation (years),v88836306,1.3.11,27.00
2005,Canada,Master's,Median age at graduation (years),v88836306,1.3.11,28.00
2010,Canada,Master's,Median age at graduation (years),v88836306,1.3.11,27.00
2000,Canada,Master's,Married or living common-law (percent),v88836307,1.3.12,51.00
2005,Canada,Master's,Married or living common-law (percent),v88836307,1.3.12,56.00
2010,Canada,Master's,Married or living common-law (percent),v88836307,1.3.12,67.00
2000,Canada,Master's,With dependent children (percent),v88836308,1.3.13,23.00
2005,Canada,Master's,With dependent children (percent),v88836308,1.3.13,28.00
2010,Canada,Master's,With dependent children (percent),v88836308,1.3.13,35.00
2000,Canada,Master's,With previous postsecondary education (percent),v88836309,1.3.14,95.00
2005,Canada,Master's,With previous postsecondary education (percent),v88836309,1.3.14,98.00
2010,Canada,Master's,With previous postsecondary education (percent),v88836309,1.3.14,98.00
2000,Canada,Doctorate,Number of graduates,v88836310,1.4.1,1400.00
2005,Canada,Doctorate,Number of graduates,v88836310,1.4.1,1100.00
2010,Canada,Doctorate,Number of graduates,v88836310,1.4.1,1800.00
2000,Canada,Doctorate,Average debt owed at graduation (dollars),v88836311,1.4.2,18900.00
2005,Canada,Doctorate,Average debt owed at graduation (dollars),v88836311,1.4.2,22900.00
2010,Canada,Doctorate,Average debt owed at graduation (dollars),v88836311,1.4.2,23200.00
2000,Canada,Doctorate,"Large debt at graduation ($25,000 and over) (percent)",v88836312,1.4.3,27.00
2005,Canada,Doctorate,"Large debt at graduation ($25,000 and over) (percent)",v88836312,1.4.3,36.00
2010,Canada,Doctorate,"Large debt at graduation ($25,000 and over) (percent)",v88836312,1.4.3,35.00
2000,Canada,Doctorate,Average debt owed at time of interview (dollars),v88836313,1.4.4,11600.00
2005,Canada,Doctorate,Average debt owed at time of interview (dollars),v88836313,1.4.4,13700.00
2010,Canada,Doctorate,Average debt owed at time of interview (dollars),v88836313,1.4.4,11700.00
2000,Canada,Doctorate,"Large debt at time of interview ($25,000 and over) (percent)",v88836314,1.4.5,22.00
2005,Canada,Doctorate,"Large debt at time of interview ($25,000 and over) (percent)",v88836314,1.4.5,27.00
2010,Canada,Doctorate,"Large debt at time of interview ($25,000 and over) (percent)",v88836314,1.4.5,23.00
2000,Canada,Doctorate,Percentage of debt paid off at time of interview,v88836315,1.4.6,39.00
2005,Canada,Doctorate,Percentage of debt paid off at time of interview,v88836315,1.4.6,40.00
2010,Canada,Doctorate,Percentage of debt paid off at time of interview,v88836315,1.4.6,49.00
2000,Canada,Doctorate,Employed (interview year) (percent),v88836316,1.4.7,91.00
2005,Canada,Doctorate,Employed (interview year) (percent),v88836316,1.4.7,91.00
2010,Canada,Doctorate,Employed (interview year) (percent),v88836316,1.4.7,95.00
2000,Canada,Doctorate,Without income (year prior to interview) (percent),v88836317,1.4.8,1.00
2005,Canada,Doctorate,Without income (year prior to interview) (percent),v88836317,1.4.8,1.00
2010,Canada,Doctorate,Without income (year prior to interview) (percent),v88836317,1.4.8,x
2000,Canada,Doctorate,Average income  (year prior to interview) (dollars),v88836318,1.4.9,57400.00
2005,Canada,Doctorate,Average income  (year prior to interview) (dollars),v88836318,1.4.9,55100.00
2010,Canada,Doctorate,Average income  (year prior to interview) (dollars),v88836318,1.4.9,86900.00
2000,Canada,Doctorate,Average age at graduation (years),v88836319,1.4.10,33.00
2005,Canada,Doctorate,Average age at graduation (years),v88836319,1.4.10,34.00
2010,Canada,Doctorate,Average age at graduation (years),v88836319,1.4.10,32.00
2000,Canada,Doctorate,Median age at graduation (years),v88836320,1.4.11,32.00
2005,Canada,Doctorate,Median age at graduation (years),v88836320,1.4.11,32.00
2010,Canada,Doctorate,Median age at graduation (years),v88836320,1.4.11,31.00
2000,Canada,Doctorate,Married or living common-law (percent),v88836321,1.4.12,68.00
2005,Canada,Doctorate,Married or living common-law (percent),v88836321,1.4.12,72.00
2010,Canada,Doctorate,Married or living common-law (percent),v88836321,1.4.12,81.00
2000,Canada,Doctorate,With dependent children (percent),v88836322,1.4.13,41.00
2005,Canada,Doctorate,With dependent children (percent),v88836322,1.4.13,47.00
2010,Canada,Doctorate,With dependent children (percent),v88836322,1.4.13,47.00
2000,Canada,Doctorate,With previous postsecondary education (percent),v88836323,1.4.14,99.00
2005,Canada,Doctorate,With previous postsecondary education (percent),v88836323,1.4.14,100.00
2010,Canada,Doctorate,With previous postsecondary education (percent),v88836323,1.4.14,100.00
2000,Newfoundland and Labrador,College,Number of graduates,v88836324,2.1.1,700.00
2005,Newfoundland and Labrador,College,Number of graduates,v88836324,2.1.1,300.00
2010,Newfoundland and Labrador,College,Number of graduates,v88836324,2.1.1,700.00
2000,Newfoundland and Labrador,College,Average debt owed at graduation (dollars),v88836325,2.1.2,15200.00
2005,Newfoundland and Labrador,College,Average debt owed at graduation (dollars),v88836325,2.1.2,17400.00
2010,Newfoundland and Labrador,College,Average debt owed at graduation (dollars),v88836325,2.1.2,16300.00
2000,Newfoundland and Labrador,College,"Large debt at graduation ($25,000 and over) (percent)",v88836326,2.1.3,17.00
2005,Newfoundland and Labrador,College,"Large debt at graduation ($25,000 and over) (percent)",v88836326,2.1.3,23.00
2010,Newfoundland and Labrador,College,"Large debt at graduation ($25,000 and over) (percent)",v88836326,2.1.3,25.00
2000,Newfoundland and Labrador,College,Average debt owed at time of interview (dollars),v88836327,2.1.4,12800.00
2005,Newfoundland and Labrador,College,Average debt owed at time of interview (dollars),v88836327,2.1.4,12900.00
2010,Newfoundland and Labrador,College,Average debt owed at time of interview (dollars),v88836327,2.1.4,8100.00
2000,Newfoundland and Labrador,College,"Large debt at time of interview ($25,000 and over) (percent)",v88836328,2.1.5,13.00
2005,Newfoundland and Labrador,College,"Large debt at time of interview ($25,000 and over) (percent)",v88836328,2.1.5,15.00
2010,Newfoundland and Labrador,College,"Large debt at time of interview ($25,000 and over) (percent)",v88836328,2.1.5,F
2000,Newfoundland and Labrador,College,Percentage of debt paid off at time of interview,v88836329,2.1.6,17.00
2005,Newfoundland and Labrador,College,Percentage of debt paid off at time of interview,v88836329,2.1.6,25.00
2010,Newfoundland and Labrador,College,Percentage of debt paid off at time of interview,v88836329,2.1.6,49.00
2000,Newfoundland and Labrador,College,Employed (interview year) (percent),v88836330,2.1.7,82.00
2005,Newfoundland and Labrador,College,Employed (interview year) (percent),v88836330,2.1.7,84.00
2010,Newfoundland and Labrador,College,Employed (interview year) (percent),v88836330,2.1.7,81.00
2000,Newfoundland and Labrador,College,Without income (year prior to interview) (percent),v88836331,2.1.8,x
2005,Newfoundland and Labrador,College,Without income (year prior to interview) (percent),v88836331,2.1.8,x
2010,Newfoundland and Labrador,College,Without income (year prior to interview) (percent),v88836331,2.1.8,..
2000,Newfoundland and Labrador,College,Average income  (year prior to interview) (dollars),v88836332,2.1.9,24200.00
2005,Newfoundland and Labrador,College,Average income  (year prior to interview) (dollars),v88836332,2.1.9,32100.00
2010,Newfoundland and Labrador,College,Average income  (year prior to interview) (dollars),v88836332,2.1.9,59600.00
2000,Newfoundland and Labrador,College,Average age at graduation (years),v88836333,2.1.10,24.00
2005,Newfoundland and Labrador,College,Average age at graduation (years),v88836333,2.1.10,25.00
2010,Newfoundland and Labrador,College,Average age at graduation (years),v88836333,2.1.10,25.00
2000,Newfoundland and Labrador,College,Median age at graduation (years),v88836334,2.1.11,22.00
2005,Newfoundland and Labrador,College,Median age at graduation (years),v88836334,2.1.11,23.00
2010,Newfoundland and Labrador,College,Median age at graduation (years),v88836334,2.1.11,24.00
2000,Newfoundland and Labrador,College,Married or living common-law (percent),v88836335,2.1.12,28.00
2005,Newfoundland and Labrador,College,Married or living common-law (percent),v88836335,2.1.12,30.00
2010,Newfoundland and Labrador,College,Married or living common-law (percent),v88836335,2.1.12,45.00
2000,Newfoundland and Labrador,College,With dependent children (percent),v88836336,2.1.13,19.00
2005,Newfoundland and Labrador,College,With dependent children (percent),v88836336,2.1.13,27.00
2010,Newfoundland and Labrador,College,With dependent children (percent),v88836336,2.1.13,34.00
2000,Newfoundland and Labrador,College,With previous postsecondary education (percent),v88836337,2.1.14,38.00
2005,Newfoundland and Labrador,College,With previous postsecondary education (percent),v88836337,2.1.14,46.00
2010,Newfoundland and Labrador,College,With previous postsecondary education (percent),v88836337,2.1.14,43.00
2000,Newfoundland and Labrador,Bachelor's,Number of graduates,v88836338,2.2.1,800.00
2005,Newfoundland and Labrador,Bachelor's,Number of graduates,v88836338,2.2.1,1000.00
2010,Newfoundland and Labrador,Bachelor's,Number of graduates,v88836338,2.2.1,700.00
2000,Newfoundland and Labrador,Bachelor's,Average debt owed at graduation (dollars),v88836339,2.2.2,28500.00
2005,Newfoundland and Labrador,Bachelor's,Average debt owed at graduation (dollars),v88836339,2.2.2,28200.00
2010,Newfoundland and Labrador,Bachelor's,Average debt owed at graduation (dollars),v88836339,2.2.2,27300.00
2000,Newfoundland and Labrador,Bachelor's,"Large debt at graduation ($25,000 and over) (percent)",v88836340,2.2.3,63.00
2005,Newfoundland and Labrador,Bachelor's,"Large debt at graduation ($25,000 and over) (percent)",v88836340,2.2.3,59.00
2010,Newfoundland and Labrador,Bachelor's,"Large debt at graduation ($25,000 and over) (percent)",v88836340,2.2.3,55.00
2000,Newfoundland and Labrador,Bachelor's,Average debt owed at time of interview (dollars),v88836341,2.2.4,21800.00
2005,Newfoundland and Labrador,Bachelor's,Average debt owed at time of interview (dollars),v88836341,2.2.4,19400.00
2010,Newfoundland and Labrador,Bachelor's,Average debt owed at time of interview (dollars),v88836341,2.2.4,13000.00
2000,Newfoundland and Labrador,Bachelor's,"Large debt at time of interview ($25,000 and over) (percent)",v88836342,2.2.5,50.00
2005,Newfoundland and Labrador,Bachelor's,"Large debt at time of interview ($25,000 and over) (percent)",v88836342,2.2.5,45.00
2010,Newfoundland and Labrador,Bachelor's,"Large debt at time of interview ($25,000 and over) (percent)",v88836342,2.2.5,29.00
2000,Newfoundland and Labrador,Bachelor's,Percentage of debt paid off at time of interview,v88836343,2.2.6,24.00
2005,Newfoundland and Labrador,Bachelor's,Percentage of debt paid off at time of interview,v88836343,2.2.6,32.00
2010,Newfoundland and Labrador,Bachelor's,Percentage of debt paid off at time of interview,v88836343,2.2.6,53.00
2000,Newfoundland and Labrador,Bachelor's,Employed (interview year) (percent),v88836344,2.2.7,87.00
2005,Newfoundland and Labrador,Bachelor's,Employed (interview year) (percent),v88836344,2.2.7,87.00
2010,Newfoundland and Labrador,Bachelor's,Employed (interview year) (percent),v88836344,2.2.7,90.00
2000,Newfoundland and Labrador,Bachelor's,Without income (year prior to interview) (percent),v88836345,2.2.8,x
2005,Newfoundland and Labrador,Bachelor's,Without income (year prior to interview) (percent),v88836345,2.2.8,x
2010,Newfoundland and Labrador,Bachelor's,Without income (year prior to interview) (percent),v88836345,2.2.8,..
2000,Newfoundland and Labrador,Bachelor's,Average income  (year prior to interview) (dollars),v88836346,2.2.9,32700.00
2005,Newfoundland and Labrador,Bachelor's,Average income  (year prior to interview) (dollars),v88836346,2.2.9,38600.00
2010,Newfoundland and Labrador,Bachelor's,Average income  (year prior to interview) (dollars),v88836346,2.2.9,61300.00
2000,Newfoundland and Labrador,Bachelor's,Average age at graduation (years),v88836347,2.2.10,25.00
2005,Newfoundland and Labrador,Bachelor's,Average age at graduation (years),v88836347,2.2.10,25.00
2010,Newfoundland and Labrador,Bachelor's,Average age at graduation (years),v88836347,2.2.10,26.00
2000,Newfoundland and Labrador,Bachelor's,Median age at graduation (years),v88836348,2.2.11,24.00
2005,Newfoundland and Labrador,Bachelor's,Median age at graduation (years),v88836348,2.2.11,24.00
2010,Newfoundland and Labrador,Bachelor's,Median age at graduation (years),v88836348,2.2.11,25.00
2000,Newfoundland and Labrador,Bachelor's,Married or living common-law (percent),v88836349,2.2.12,34.00
2005,Newfoundland and Labrador,Bachelor's,Married or living common-law (percent),v88836349,2.2.12,41.00
2010,Newfoundland and Labrador,Bachelor's,Married or living common-law (percent),v88836349,2.2.12,68.00
2000,Newfoundland and Labrador,Bachelor's,With dependent children (percent),v88836350,2.2.13,11.00
2005,Newfoundland and Labrador,Bachelor's,With dependent children (percent),v88836350,2.2.13,19.00
2010,Newfoundland and Labrador,Bachelor's,With dependent children (percent),v88836350,2.2.13,32.00
2000,Newfoundland and Labrador,Bachelor's,With previous postsecondary education (percent),v88836351,2.2.14,46.00
2005,Newfoundland and Labrador,Bachelor's,With previous postsecondary education (percent),v88836351,2.2.14,53.00
2010,Newfoundland and Labrador,Bachelor's,With previous postsecondary education (percent),v88836351,2.2.14,48.00
2000,Newfoundland and Labrador,Master's,Number of graduates,v88836352,2.3.1,100.00
2005,Newfoundland and Labrador,Master's,Number of graduates,v88836352,2.3.1,100.00
2010,Newfoundland and Labrador,Master's,Number of graduates,v88836352,2.3.1,100.00
2000,Newfoundland and Labrador,Master's,Average debt owed at graduation (dollars),v88836353,2.3.2,20300.00
2005,Newfoundland and Labrador,Master's,Average debt owed at graduation (dollars),v88836353,2.3.2,23500.00
2010,Newfoundland and Labrador,Master's,Average debt owed at graduation (dollars),v88836353,2.3.2,26700.00
2000,Newfoundland and Labrador,Master's,"Large debt at graduation ($25,000 and over) (percent)",v88836354,2.3.3,28.00
2005,Newfoundland and Labrador,Master's,"Large debt at graduation ($25,000 and over) (percent)",v88836354,2.3.3,46.00
2010,Newfoundland and Labrador,Master's,"Large debt at graduation ($25,000 and over) (percent)",v88836354,2.3.3,61.00
2000,Newfoundland and Labrador,Master's,Average debt owed at time of interview (dollars),v88836355,2.3.4,15000.00
2005,Newfoundland and Labrador,Master's,Average debt owed at time of interview (dollars),v88836355,2.3.4,12600.00
2010,Newfoundland and Labrador,Master's,Average debt owed at time of interview (dollars),v88836355,2.3.4,10600.00
2000,Newfoundland and Labrador,Master's,"Large debt at time of interview ($25,000 and over) (percent)",v88836356,2.3.5,27.00
2005,Newfoundland and Labrador,Master's,"Large debt at time of interview ($25,000 and over) (percent)",v88836356,2.3.5,31.00
2010,Newfoundland and Labrador,Master's,"Large debt at time of interview ($25,000 and over) (percent)",v88836356,2.3.5,23.00
2000,Newfoundland and Labrador,Master's,Percentage of debt paid off at time of interview,v88836357,2.3.6,24.00
2005,Newfoundland and Labrador,Master's,Percentage of debt paid off at time of interview,v88836357,2.3.6,47.00
2010,Newfoundland and Labrador,Master's,Percentage of debt paid off at time of interview,v88836357,2.3.6,61.00
2000,Newfoundland and Labrador,Master's,Employed (interview year) (percent),v88836358,2.3.7,89.00
2005,Newfoundland and Labrador,Master's,Employed (interview year) (percent),v88836358,2.3.7,93.00
2010,Newfoundland and Labrador,Master's,Employed (interview year) (percent),v88836358,2.3.7,94.00
2000,Newfoundland and Labrador,Master's,Without income (year prior to interview) (percent),v88836359,2.3.8,..
2005,Newfoundland and Labrador,Master's,Without income (year prior to interview) (percent),v88836359,2.3.8,..
2010,Newfoundland and Labrador,Master's,Without income (year prior to interview) (percent),v88836359,2.3.8,x
2000,Newfoundland and Labrador,Master's,Average income  (year prior to interview) (dollars),v88836360,2.3.9,36600.00
2005,Newfoundland and Labrador,Master's,Average income  (year prior to interview) (dollars),v88836360,2.3.9,51400.00
2010,Newfoundland and Labrador,Master's,Average income  (year prior to interview) (dollars),v88836360,2.3.9,63000.00
2000,Newfoundland and Labrador,Master's,Average age at graduation (years),v88836361,2.3.10,27.00
2005,Newfoundland and Labrador,Master's,Average age at graduation (years),v88836361,2.3.10,29.00
2010,Newfoundland and Labrador,Master's,Average age at graduation (years),v88836361,2.3.10,29.00
2000,Newfoundland and Labrador,Master's,Median age at graduation (years),v88836362,2.3.11,26.00
2005,Newfoundland and Labrador,Master's,Median age at graduation (years),v88836362,2.3.11,28.00
2010,Newfoundland and Labrador,Master's,Median age at graduation (years),v88836362,2.3.11,28.00
2000,Newfoundland and Labrador,Master's,Married or living common-law (percent),v88836363,2.3.12,36.00
2005,Newfoundland and Labrador,Master's,Married or living common-law (percent),v88836363,2.3.12,49.00
2010,Newfoundland and Labrador,Master's,Married or living common-law (percent),v88836363,2.3.12,80.00
2000,Newfoundland and Labrador,Master's,With dependent children (percent),v88836364,2.3.13,10.00
2005,Newfoundland and Labrador,Master's,With dependent children (percent),v88836364,2.3.13,20.00
2010,Newfoundland and Labrador,Master's,With dependent children (percent),v88836364,2.3.13,41.00
2000,Newfoundland and Labrador,Master's,With previous postsecondary education (percent),v88836365,2.3.14,96.00
2005,Newfoundland and Labrador,Master's,With previous postsecondary education (percent),v88836365,2.3.14,98.00
2010,Newfoundland and Labrador,Master's,With previous postsecondary education (percent),v88836365,2.3.14,96.00
2000,Newfoundland and Labrador,Doctorate,Number of graduates,v88836366,2.4.1,x
2005,Newfoundland and Labrador,Doctorate,Number of graduates,v88836366,2.4.1,0.00
2010,Newfoundland and Labrador,Doctorate,Number of graduates,v88836366,2.4.1,x
2000,Newfoundland and Labrador,Doctorate,Average debt owed at graduation (dollars),v88836367,2.4.2,x
2005,Newfoundland and Labrador,Doctorate,Average debt owed at graduation (dollars),v88836367,2.4.2,14800.00
2010,Newfoundland and Labrador,Doctorate,Average debt owed at graduation (dollars),v88836367,2.4.2,x
2000,Newfoundland and Labrador,Doctorate,"Large debt at graduation ($25,000 and over) (percent)",v88836368,2.4.3,x
2005,Newfoundland and Labrador,Doctorate,"Large debt at graduation ($25,000 and over) (percent)",v88836368,2.4.3,..
2010,Newfoundland and Labrador,Doctorate,"Large debt at graduation ($25,000 and over) (percent)",v88836368,2.4.3,x
2000,Newfoundland and Labrador,Doctorate,Average debt owed at time of interview (dollars),v88836369,2.4.4,x
2005,Newfoundland and Labrador,Doctorate,Average debt owed at time of interview (dollars),v88836369,2.4.4,7800.00
2010,Newfoundland and Labrador,Doctorate,Average debt owed at time of interview (dollars),v88836369,2.4.4,x
2000,Newfoundland and Labrador,Doctorate,"Large debt at time of interview ($25,000 and over) (percent)",v88836370,2.4.5,x
2005,Newfoundland and Labrador,Doctorate,"Large debt at time of interview ($25,000 and over) (percent)",v88836370,2.4.5,..
2010,Newfoundland and Labrador,Doctorate,"Large debt at time of interview ($25,000 and over) (percent)",v88836370,2.4.5,..
2000,Newfoundland and Labrador,Doctorate,Percentage of debt paid off at time of interview,v88836371,2.4.6,30.00
2005,Newfoundland and Labrador,Doctorate,Percentage of debt paid off at time of interview,v88836371,2.4.6,47.00
