Ref_Date,GEO,HAR,Vector,Coordinate,Value
1913,Canada,Average yield (tons per acre),v47229,1.2,8.96
1914,Canada,Average yield (tons per acre),v47229,1.2,9.85
1915,Canada,Average yield (tons per acre),v47229,1.2,9.60
1916,Canada,Average yield (tons per acre),v47229,1.2,6.50
1917,Canada,Average yield (tons per acre),v47229,1.2,7.27
1918,Canada,Average yield (tons per acre),v47229,1.2,9.44
1919,Canada,Average yield (tons per acre),v47229,1.2,8.84
1920,Canada,Average yield (tons per acre),v47229,1.2,10.02
1921,Canada,Average yield (tons per acre),v47229,1.2,8.69
1922,Canada,Average yield (tons per acre),v47229,1.2,9.82
1923,Canada,Average yield (tons per acre),v47229,1.2,9.80
1924,Canada,Average yield (tons per acre),v47229,1.2,10.26
1925,Canada,Average yield (tons per acre),v47229,1.2,9.12
1926,Canada,Average yield (tons per acre),v47229,1.2,8.64
1927,Canada,Average yield (tons per acre),v47229,1.2,9.45
1928,Canada,Average yield (tons per acre),v47229,1.2,10.77
1929,Canada,Average yield (tons per acre),v47229,1.2,8.82
1930,Canada,Average yield (tons per acre),v47229,1.2,9.09
1931,Canada,Average yield (tons per acre),v47229,1.2,10.27
1932,Canada,Average yield (tons per acre),v47229,1.2,10.81
1933,Canada,Average yield (tons per acre),v47229,1.2,9.41
1934,Canada,Average yield (tons per acre),v47229,1.2,10.81
1935,Canada,Average yield (tons per acre),v47229,1.2,9.48
1936,Canada,Average yield (tons per acre),v47229,1.2,10.47
1937,Canada,Average yield (tons per acre),v47229,1.2,9.77
1938,Canada,Average yield (tons per acre),v47229,1.2,10.07
1939,Canada,Average yield (tons per acre),v47229,1.2,9.94
1940,Canada,Average yield (tons per acre),v47229,1.2,10.47
1941,Canada,Average yield (tons per acre),v47229,1.2,9.85
1942,Canada,Average yield (tons per acre),v47229,1.2,10.85
1943,Canada,Average yield (tons per acre),v47229,1.2,11.49
1944,Canada,Average yield (tons per acre),v47229,1.2,11.37
1945,Canada,Average yield (tons per acre),v47229,1.2,9.74
1946,Canada,Average yield (tons per acre),v47229,1.2,10.98
1947,Canada,Average yield (tons per acre),v47229,1.2,9.31
1948,Canada,Average yield (tons per acre),v47229,1.2,10.45
1949,Canada,Average yield (tons per acre),v47229,1.2,9.33
1950,Canada,Average yield (tons per acre),v47229,1.2,11.26
1951,Canada,Average yield (tons per acre),v47229,1.2,11.51
1952,Canada,Average yield (tons per acre),v47229,1.2,11.31
1953,Canada,Average yield (tons per acre),v47229,1.2,11.32
1954,Canada,Average yield (tons per acre),v47229,1.2,10.51
1955,Canada,Average yield (tons per acre),v47229,1.2,10.42
1956,Canada,Average yield (tons per acre),v47229,1.2,10.71
1957,Canada,Average yield (tons per acre),v47229,1.2,10.77
1958,Canada,Average yield (tons per acre),v47229,1.2,11.47
1959,Canada,Average yield (tons per acre),v47229,1.2,11.20
1960,Canada,Average yield (tons per acre),v47229,1.2,9.56
1961,Canada,Average yield (tons per acre),v47229,1.2,10.79
1962,Canada,Average yield (tons per acre),v47229,1.2,10.66
1963,Canada,Average yield (tons per acre),v47229,1.2,11.83
1964,Canada,Average yield (tons per acre),v47229,1.2,13.37
1965,Canada,Average yield (tons per acre),v47229,1.2,12.14
1966,Canada,Average yield (tons per acre),v47229,1.2,12.91
1967,Canada,Average yield (tons per acre),v47229,1.2,12.50
1968,Canada,Average yield (tons per acre),v47229,1.2,13.07
1969,Canada,Average yield (tons per acre),v47229,1.2,11.75
1970,Canada,Average yield (tons per acre),v47229,1.2,13.08
1971,Canada,Average yield (tons per acre),v47229,1.2,13.44
1972,Canada,Average yield (tons per acre),v47229,1.2,12.31
1973,Canada,Average yield (tons per acre),v47229,1.2,10.67
1974,Canada,Average yield (tons per acre),v47229,1.2,14.54
1975,Canada,Average yield (tons per acre),v47229,1.2,12.46
1976,Canada,Average yield (tons per acre),v47229,1.2,13.09
1908,Canada,"Production (tons x 1,000)",v47241,1.3,2532.00
1909,Canada,"Production (tons x 1,000)",v47241,1.3,2693.00
1910,Canada,"Production (tons x 1,000)",v47241,1.3,2174.00
1911,Canada,"Production (tons x 1,000)",v47241,1.3,1905.00
1912,Canada,"Production (tons x 1,000)",v47241,1.3,2000.00
1913,Canada,"Production (tons x 1,000)",v47241,1.3,1671.00
1914,Canada,"Production (tons x 1,000)",v47241,1.3,1724.00
1915,Canada,"Production (tons x 1,000)",v47241,1.3,1505.00
1916,Canada,"Production (tons x 1,000)",v47241,1.3,922.00
1917,Canada,"Production (tons x 1,000)",v47241,1.3,1587.00
1918,Canada,"Production (tons x 1,000)",v47241,1.3,3067.00
1919,Canada,"Production (tons x 1,000)",v47241,1.3,2806.00
1920,Canada,"Production (tons x 1,000)",v47241,1.3,2909.00
1921,Canada,"Production (tons x 1,000)",v47241,1.3,1979.00
1922,Canada,"Production (tons x 1,000)",v47241,1.3,2202.00
1923,Canada,"Production (tons x 1,000)",v47241,1.3,1906.00
1924,Canada,"Production (tons x 1,000)",v47241,1.3,2030.00
1925,Canada,"Production (tons x 1,000)",v47241,1.3,1814.00
1926,Canada,"Production (tons x 1,000)",v47241,1.3,1711.00
1927,Canada,"Production (tons x 1,000)",v47241,1.3,1863.00
1928,Canada,"Production (tons x 1,000)",v47241,1.3,2179.00
1929,Canada,"Production (tons x 1,000)",v47241,1.3,1812.00
1930,Canada,"Production (tons x 1,000)",v47241,1.3,2054.00
1931,Canada,"Production (tons x 1,000)",v47241,1.3,1469.00
1932,Canada,"Production (tons x 1,000)",v47241,1.3,1889.00
1933,Canada,"Production (tons x 1,000)",v47241,1.3,1731.00
1934,Canada,"Production (tons x 1,000)",v47241,1.3,2026.00
1935,Canada,"Production (tons x 1,000)",v47241,1.3,1755.00
1936,Canada,"Production (tons x 1,000)",v47241,1.3,1910.00
1937,Canada,"Production (tons x 1,000)",v47241,1.3,1814.00
1938,Canada,"Production (tons x 1,000)",v47241,1.3,1908.00
1939,Canada,"Production (tons x 1,000)",v47241,1.3,1884.00
1940,Canada,"Production (tons x 1,000)",v47241,1.3,1951.00
1941,Canada,"Production (tons x 1,000)",v47241,1.3,1262.00
1942,Canada,"Production (tons x 1,000)",v47241,1.3,1271.00
1943,Canada,"Production (tons x 1,000)",v47241,1.3,1316.00
1944,Canada,"Production (tons x 1,000)",v47241,1.3,1154.00
1945,Canada,"Production (tons x 1,000)",v47241,1.3,866.00
1946,Canada,"Production (tons x 1,000)",v47241,1.3,884.00
1947,Canada,"Production (tons x 1,000)",v47241,1.3,658.00
1948,Canada,"Production (tons x 1,000)",v47241,1.3,674.00
1949,Canada,"Production (tons x 1,000)",v47241,1.3,545.00
1950,Canada,"Production (tons x 1,000)",v47241,1.3,618.00
1951,Canada,"Production (tons x 1,000)",v47241,1.3,526.00
1952,Canada,"Production (tons x 1,000)",v47241,1.3,502.00
1953,Canada,"Production (tons x 1,000)",v47241,1.3,489.00
1954,Canada,"Production (tons x 1,000)",v47241,1.3,453.00
1955,Canada,"Production (tons x 1,000)",v47241,1.3,447.00
1956,Canada,"Production (tons x 1,000)",v47241,1.3,425.00
1957,Canada,"Production (tons x 1,000)",v47241,1.3,351.00
1958,Canada,"Production (tons x 1,000)",v47241,1.3,398.00
1959,Canada,"Production (tons x 1,000)",v47241,1.3,335.00
1960,Canada,"Production (tons x 1,000)",v47241,1.3,262.00
1961,Canada,"Production (tons x 1,000)",v47241,1.3,288.00
1962,Canada,"Production (tons x 1,000)",v47241,1.3,273.00
1963,Canada,"Production (tons x 1,000)",v47241,1.3,271.00
1964,Canada,"Production (tons x 1,000)",v47241,1.3,278.00
1965,Canada,"Production (tons x 1,000)",v47241,1.3,221.00
1966,Canada,"Production (tons x 1,000)",v47241,1.3,195.00
1967,Canada,"Production (tons x 1,000)",v47241,1.3,170.00
1968,Canada,"Production (tons x 1,000)",v47241,1.3,166.00
1969,Canada,"Production (tons x 1,000)",v47241,1.3,121.00
1970,Canada,"Production (tons x 1,000)",v47241,1.3,119.00
1971,Canada,"Production (tons x 1,000)",v47241,1.3,129.00
1972,Canada,"Production (tons x 1,000)",v47241,1.3,128.00
1973,Canada,"Production (tons x 1,000)",v47241,1.3,112.00
1974,Canada,"Production (tons x 1,000)",v47241,1.3,141.00
1975,Canada,"Production (tons x 1,000)",v47241,1.3,62.00
1976,Canada,"Production (tons x 1,000)",v47241,1.3,56.00
1908,Canada,Average farm price (dollars per ton),v47253,1.4,6.92
1909,Canada,Average farm price (dollars per ton),v47253,1.4,6.76
1910,Canada,Average farm price (dollars per ton),v47253,1.4,4.48
1911,Canada,Average farm price (dollars per ton),v47253,1.4,9.46
1912,Canada,Average farm price (dollars per ton),v47253,1.4,9.46
1913,Canada,Average farm price (dollars per ton),v47253,1.4,11.16
1914,Canada,Average farm price (dollars per ton),v47253,1.4,10.98
1915,Canada,Average farm price (dollars per ton),v47253,1.4,9.69
1916,Canada,Average farm price (dollars per ton),v47253,1.4,15.54
1917,Canada,Average farm price (dollars per ton),v47253,1.4,18.43
1918,Canada,Average farm price (dollars per ton),v47253,1.4,17.04
1919,Canada,Average farm price (dollars per ton),v47253,1.4,19.59
1920,Canada,Average farm price (dollars per ton),v47253,1.4,16.57
1921,Canada,Average farm price (dollars per ton),v47253,1.4,13.45
1922,Canada,Average farm price (dollars per ton),v47253,1.4,10.85
1923,Canada,Average farm price (dollars per ton),v47253,1.4,11.80
1924,Canada,Average farm price (dollars per ton),v47253,1.4,8.81
1925,Canada,Average farm price (dollars per ton),v47253,1.4,11.12
1926,Canada,Average farm price (dollars per ton),v47253,1.4,11.98
1927,Canada,Average farm price (dollars per ton),v47253,1.4,9.28
1928,Canada,Average farm price (dollars per ton),v47253,1.4,9.50
1929,Canada,Average farm price (dollars per ton),v47253,1.4,10.52
1930,Canada,Average farm price (dollars per ton),v47253,1.4,8.85
1931,Canada,Average farm price (dollars per ton),v47253,1.4,5.52
1932,Canada,Average farm price (dollars per ton),v47253,1.4,5.33
1933,Canada,Average farm price (dollars per ton),v47253,1.4,6.72
1934,Canada,Average farm price (dollars per ton),v47253,1.4,6.26
1935,Canada,Average farm price (dollars per ton),v47253,1.4,6.38
1936,Canada,Average farm price (dollars per ton),v47253,1.4,7.01
1937,Canada,Average farm price (dollars per ton),v47253,1.4,6.49
1938,Canada,Average farm price (dollars per ton),v47253,1.4,6.66
1939,Canada,Average farm price (dollars per ton),v47253,1.4,7.50
1940,Canada,Average farm price (dollars per ton),v47253,1.4,6.35
1941,Canada,Average farm price (dollars per ton),v47253,1.4,8.95
1942,Canada,Average farm price (dollars per ton),v47253,1.4,9.28
1943,Canada,Average farm price (dollars per ton),v47253,1.4,12.36
1944,Canada,Average farm price (dollars per ton),v47253,1.4,14.13
1945,Canada,Average farm price (dollars per ton),v47253,1.4,16.65
1946,Canada,Average farm price (dollars per ton),v47253,1.4,14.96
1947,Canada,Average farm price (dollars per ton),v47253,1.4,18.31
1948,Canada,Average farm price (dollars per ton),v47253,1.4,19.18
1949,Canada,Average farm price (dollars per ton),v47253,1.4,24.35
1950,Canada,Average farm price (dollars per ton),v47253,1.4,18.79
1951,Canada,Average farm price (dollars per ton),v47253,1.4,22.87
1952,Canada,Average farm price (dollars per ton),v47253,1.4,16.86
1953,Canada,Average farm price (dollars per ton),v47253,1.4,15.13
1954,Canada,Average farm price (dollars per ton),v47253,1.4,16.53
1955,Canada,Average farm price (dollars per ton),v47253,1.4,22.25
1956,Canada,Average farm price (dollars per ton),v47253,1.4,21.25
1957,Canada,Average farm price (dollars per ton),v47253,1.4,23.30
1958,Canada,Average farm price (dollars per ton),v47253,1.4,20.06
1959,Canada,Average farm price (dollars per ton),v47253,1.4,20.76
1960,Canada,Average farm price (dollars per ton),v47253,1.4,21.39
1961,Canada,Average farm price (dollars per ton),v47253,1.4,16.84
1962,Canada,Average farm price (dollars per ton),v47253,1.4,22.19
1963,Canada,Average farm price (dollars per ton),v47253,1.4,22.21
1964,Canada,Average farm price (dollars per ton),v47253,1.4,21.55
1965,Canada,Average farm price (dollars per ton),v47253,1.4,23.89
1966,Canada,Average farm price (dollars per ton),v47253,1.4,25.08
1967,Canada,Average farm price (dollars per ton),v47253,1.4,26.23
1968,Canada,Average farm price (dollars per ton),v47253,1.4,26.76
1969,Canada,Average farm price (dollars per ton),v47253,1.4,33.11
1970,Canada,Average farm price (dollars per ton),v47253,1.4,29.52
1971,Canada,Average farm price (dollars per ton),v47253,1.4,32.97
1972,Canada,Average farm price (dollars per ton),v47253,1.4,31.69
1973,Canada,Average farm price (dollars per ton),v47253,1.4,25.46
1974,Canada,Average farm price (dollars per ton),v47253,1.4,58.16
1975,Canada,Average farm price (dollars per ton),v47253,1.4,19.98
1908,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,17532.00
1909,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,18198.00
1910,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,9730.00
1911,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,18030.00
1912,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,18924.00
1913,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,18643.00
1914,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,18934.00
1915,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,14589.00
1916,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,14329.00
1917,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,29253.00
1918,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,52252.00
1919,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,54959.00
1920,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,48213.00
1921,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,26620.00
1922,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,23886.00
1923,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,22483.00
1924,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,17884.00
1925,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,20167.00
1926,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,20497.00
1927,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,17282.00
1928,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,20700.00
1929,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,19062.00
1930,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,18180.00
1931,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,8109.00
1932,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,10065.00
1933,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,11626.00
1934,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,12685.00
1935,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,11205.00
1936,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,13382.00
1937,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,11777.00
1938,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,12699.00
1939,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,14127.00
1940,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,12388.00
1941,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,11291.00
1942,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,11798.00
1943,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,16263.00
1944,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,16306.00
1945,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,14416.00
1946,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,13221.00
1947,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,12048.00
1948,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,12927.00
1949,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,13270.00
1950,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,11612.00
1951,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,12032.00
1952,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,8465.00
1953,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,7401.00
1954,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,7488.00
1955,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,9944.00
1956,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,9033.00
1957,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,8180.00
1958,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,7984.00
1959,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,6954.00
1960,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,5605.00
1961,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,4850.00
1962,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,6059.00
1963,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,6019.00
1964,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,5991.00
1965,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,5279.00
1966,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,4890.00
1967,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,4459.00
1968,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,4442.00
1969,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,4006.00
1970,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,3513.00
1971,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,4253.00
1972,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,4056.00
1973,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,2852.00
1974,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,8201.00
1975,Canada,"Total farm value (dollars x 1,000)",v47265,1.5,1245.00
1908,Maritime provinces,Seeded area (acres),v47218,3.1,32800.00
1909,Maritime provinces,Seeded area (acres),v47218,3.1,32400.00
1910,Maritime provinces,Seeded area (acres),v47218,3.1,24800.00
1911,Maritime provinces,Seeded area (acres),v47218,3.1,29700.00
1912,Maritime provinces,Seeded area (acres),v47218,3.1,30000.00
1913,Maritime provinces,Seeded area (acres),v47218,3.1,29000.00
1914,Maritime provinces,Seeded area (acres),v47218,3.1,25300.00
1915,Maritime provinces,Seeded area (acres),v47218,3.1,25100.00
1916,Maritime provinces,Seeded area (acres),v47218,3.1,24700.00
1917,Maritime provinces,Seeded area (acres),v47218,3.1,24900.00
1918,Maritime provinces,Seeded area (acres),v47218,3.1,50600.00
1919,Maritime provinces,Seeded area (acres),v47218,3.1,66900.00
1920,Maritime provinces,Seeded area (acres),v47218,3.1,49400.00
1921,Maritime provinces,Seeded area (acres),v47218,3.1,43100.00
1922,Maritime provinces,Seeded area (acres),v47218,3.1,40500.00
1923,Maritime provinces,Seeded area (acres),v47218,3.1,31800.00
1924,Maritime provinces,Seeded area (acres),v47218,3.1,33100.00
1925,Maritime provinces,Seeded area (acres),v47218,3.1,34800.00
1926,Maritime provinces,Seeded area (acres),v47218,3.1,37400.00
1927,Maritime provinces,Seeded area (acres),v47218,3.1,38100.00
1928,Maritime provinces,Seeded area (acres),v47218,3.1,41100.00
1929,Maritime provinces,Seeded area (acres),v47218,3.1,40400.00
1930,Maritime provinces,Seeded area (acres),v47218,3.1,42900.00
1931,Maritime provinces,Seeded area (acres),v47218,3.1,26400.00
1932,Maritime provinces,Seeded area (acres),v47218,3.1,28700.00
1933,Maritime provinces,Seeded area (acres),v47218,3.1,31500.00
1934,Maritime provinces,Seeded area (acres),v47218,3.1,33500.00
1935,Maritime provinces,Seeded area (acres),v47218,3.1,33600.00
1936,Maritime provinces,Seeded area (acres),v47218,3.1,35500.00
1937,Maritime provinces,Seeded area (acres),v47218,3.1,34800.00
1938,Maritime provinces,Seeded area (acres),v47218,3.1,35500.00
1939,Maritime provinces,Seeded area (acres),v47218,3.1,35400.00
1940,Maritime provinces,Seeded area (acres),v47218,3.1,35400.00
1941,Maritime provinces,Seeded area (acres),v47218,3.1,30900.00
1942,Maritime provinces,Seeded area (acres),v47218,3.1,30200.00
1943,Maritime provinces,Seeded area (acres),v47218,3.1,31000.00
1944,Maritime provinces,Seeded area (acres),v47218,3.1,27500.00
1945,Maritime provinces,Seeded area (acres),v47218,3.1,24700.00
1946,Maritime provinces,Seeded area (acres),v47218,3.1,22000.00
1947,Maritime provinces,Seeded area (acres),v47218,3.1,20200.00
1948,Maritime provinces,Seeded area (acres),v47218,3.1,20200.00
1949,Maritime provinces,Seeded area (acres),v47218,3.1,17700.00
1950,Maritime provinces,Seeded area (acres),v47218,3.1,17100.00
1951,Maritime provinces,Seeded area (acres),v47218,3.1,16000.00
1952,Maritime provinces,Seeded area (acres),v47218,3.1,15900.00
1953,Maritime provinces,Seeded area (acres),v47218,3.1,14900.00
1954,Maritime provinces,Seeded area (acres),v47218,3.1,14600.00
1955,Maritime provinces,Seeded area (acres),v47218,3.1,14200.00
1956,Maritime provinces,Seeded area (acres),v47218,3.1,13400.00
1957,Maritime provinces,Seeded area (acres),v47218,3.1,11300.00
1958,Maritime provinces,Seeded area (acres),v47218,3.1,11000.00
1959,Maritime provinces,Seeded area (acres),v47218,3.1,9900.00
1960,Maritime provinces,Seeded area (acres),v47218,3.1,8800.00
1961,Maritime provinces,Seeded area (acres),v47218,3.1,7600.00
1962,Maritime provinces,Seeded area (acres),v47218,3.1,7100.00
1963,Maritime provinces,Seeded area (acres),v47218,3.1,6800.00
1964,Maritime provinces,Seeded area (acres),v47218,3.1,6700.00
1965,Maritime provinces,Seeded area (acres),v47218,3.1,5700.00
1966,Maritime provinces,Seeded area (acres),v47218,3.1,4300.00
1967,Maritime provinces,Seeded area (acres),v47218,3.1,3900.00
1968,Maritime provinces,Seeded area (acres),v47218,3.1,3200.00
1969,Maritime provinces,Seeded area (acres),v47218,3.1,2600.00
1970,Maritime provinces,Seeded area (acres),v47218,3.1,1800.00
1971,Maritime provinces,Seeded area (acres),v47218,3.1,1100.00
1972,Maritime provinces,Seeded area (acres),v47218,3.1,1500.00
1973,Maritime provinces,Seeded area (acres),v47218,3.1,2000.00
1974,Maritime provinces,Seeded area (acres),v47218,3.1,2200.00
1975,Maritime provinces,Seeded area (acres),v47218,3.1,1500.00
1976,Maritime provinces,Seeded area (acres),v47218,3.1,1300.00
1908,Maritime provinces,Average yield (tons per acre),v47230,3.2,9.70
1909,Maritime provinces,Average yield (tons per acre),v47230,3.2,12.47
1910,Maritime provinces,Average yield (tons per acre),v47230,3.2,9.48
1911,Maritime provinces,Average yield (tons per acre),v47230,3.2,10.94
1912,Maritime provinces,Average yield (tons per acre),v47230,3.2,9.93
1913,Maritime provinces,Average yield (tons per acre),v47230,3.2,10.41
1914,Maritime provinces,Average yield (tons per acre),v47230,3.2,9.37
1915,Maritime provinces,Average yield (tons per acre),v47230,3.2,9.76
1916,Maritime provinces,Average yield (tons per acre),v47230,3.2,10.73
1917,Maritime provinces,Average yield (tons per acre),v47230,3.2,9.64
1918,Maritime provinces,Average yield (tons per acre),v47230,3.2,9.92
1919,Maritime provinces,Average yield (tons per acre),v47230,3.2,11.79
1920,Maritime provinces,Average yield (tons per acre),v47230,3.2,10.22
1921,Maritime provinces,Average yield (tons per acre),v47230,3.2,11.32
1922,Maritime provinces,Average yield (tons per acre),v47230,3.2,11.14
1923,Maritime provinces,Average yield (tons per acre),v47230,3.2,10.66
1924,Maritime provinces,Average yield (tons per acre),v47230,3.2,11.45
1925,Maritime provinces,Average yield (tons per acre),v47230,3.2,11.44
1926,Maritime provinces,Average yield (tons per acre),v47230,3.2,10.61
